Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec
1,1,846.0,1.0,0.0,0.0,0.0
2,3,830.0,1.0,0.0,0.0,0.895
3,4,847.0,1.0,0.0,0.0,8.481
4,16,863.0,1.0,0.0,0.0,10.135
5,6,848.0,1.0,0.0,0.0,12.773
6,13,840.0,1.0,0.0,0.0,17.413
7,17,807.0,1.0,0.0,0.0,18.423
8,7,844.0,1.0,0.0,0.0,19.826
9,2,857.0,1.0,0.0,0.0,20.448
10,8,1.0,1.0,0.0,0.0,22.473
11,9,842.0,1.0,0.0,0.0,26.502
12,5,852.0,1.0,0.0,0.0,29.884
13,19,839.0,1.0,0.0,0.0,33.161
14,20,860.0,1.0,0.0,0.0,40.351
NC,18,859.0,0.0,1.0,,
NC,15,865.0,0.0,1.0,,
NC,12,4.0,0.0,1.0,,
NC,10,832.0,0.0,1.0,,
NC,14,862.0,0.0,1.0,,
NC,11,864.0,0.0,1.0,,
1,1,857.0,1.0,0.0,0.0,0.0
2,3,846.0,1.0,0.0,0.0,9.748
3,2,847.0,1.0,0.0,0.0,11.097
4,4,830.0,1.0,0.0,0.0,16.656
5,11,839.0,1.0,0.0,0.0,49.969
6,8,863.0,1.0,0.0,0.0,53.748
7,10,848.0,1.0,0.0,0.0,56.321
8,17,860.0,1.0,0.0,0.0,61.303
9,14,840.0,1.0,0.0,0.0,70.204
10,15,832.0,1.0,0.0,0.0,76.387
11,7,864.0,1.0,0.0,0.0,78.875
12,20,859.0,1.0,0.0,0.0,81.147
13,18,862.0,1.0,0.0,0.0,88.401
14,19,865.0,1.0,0.0,1.0,
15,12,807.0,1.0,0.0,1.0,
16,9,852.0,1.0,0.0,1.0,
NC,13,4.0,0.0,1.0,,
DQ,6,844.0,0.0,1.0,,
DQ,5,1.0,0.0,1.0,,
DQ,16,842.0,0.0,1.0,,
1,1,830.0,1.0,0.0,0.0,0.0
2,2,846.0,1.0,0.0,0.0,1.423
3,3,857.0,1.0,0.0,0.0,2.129
4,4,844.0,1.0,0.0,0.0,16.097
5,5,847.0,1.0,0.0,0.0,17.362
6,6,863.0,1.0,0.0,0.0,18.671
7,8,1.0,1.0,0.0,0.0,29.182
8,7,864.0,1.0,0.0,0.0,37.134
9,9,848.0,1.0,0.0,0.0,40.367
10,10,860.0,1.0,0.0,0.0,54.529
11,12,4.0,1.0,0.0,0.0,57.333
12,14,852.0,1.0,0.0,0.0,58.401
13,11,842.0,1.0,0.0,0.0,62.122
14,15,832.0,1.0,0.0,0.0,74.129
15,19,862.0,1.0,0.0,0.0,81.314
16,16,807.0,1.0,0.0,0.0,81.957
17,13,859.0,1.0,0.0,0.0,82.734
18,18,839.0,1.0,0.0,0.0,83.438
19,17,865.0,1.0,0.0,0.0,83.897
20,20,840.0,1.0,0.0,1.0,
1,1,857.0,1.0,0.0,0.0,0.0
2,3,847.0,1.0,0.0,0.0,15.499
3,6,846.0,1.0,0.0,0.0,16.273
4,2,844.0,1.0,0.0,0.0,19.679
5,9,1.0,1.0,0.0,0.0,27.993
6,7,830.0,1.0,0.0,0.0,24.395
7,4,842.0,1.0,0.0,0.0,36.002
8,14,839.0,1.0,0.0,0.0,44.244
9,10,852.0,1.0,0.0,0.0,45.061
10,20,860.0,1.0,0.0,0.0,47.594
11,5,863.0,1.0,0.0,0.0,48.016
12,15,848.0,1.0,0.0,0.0,48.839
13,12,864.0,1.0,0.0,0.0,56.314
14,11,862.0,1.0,0.0,0.0,57.806
15,13,4.0,1.0,0.0,0.0,60.34
16,17,859.0,1.0,0.0,0.0,64.435
17,19,840.0,1.0,0.0,0.0,65.489
18,18,865.0,1.0,0.0,0.0,66.872
NC,8,832.0,0.0,1.0,,
DQ,16,807.0,0.0,1.0,,
1,2,857.0,1.0,0.0,0.0,0.0
2,1,830.0,1.0,0.0,0.0,2.843
3,4,844.0,1.0,0.0,0.0,8.104
4,10,846.0,1.0,0.0,0.0,9.196
5,3,847.0,1.0,0.0,0.0,27.236
6,5,863.0,1.0,0.0,0.0,34.688
7,7,1.0,1.0,0.0,0.0,39.073
8,6,832.0,1.0,0.0,0.0,64.63
9,11,848.0,1.0,0.0,0.0,66.515
10,14,864.0,1.0,0.0,0.0,67.091
11,13,4.0,1.0,0.0,0.0,75.917
12,12,859.0,1.0,0.0,0.0,78.451
13,15,860.0,1.0,0.0,0.0,79.194
14,19,839.0,1.0,0.0,0.0,99.723
15,18,807.0,1.0,0.0,1.0,
16,16,840.0,1.0,0.0,1.0,
17,17,862.0,1.0,0.0,1.0,
18,20,865.0,1.0,0.0,1.0,
NC,8,852.0,0.0,1.0,,
NC,9,842.0,0.0,1.0,,
1,4,857.0,1.0,0.0,0.0,0.0
2,2,846.0,1.0,0.0,0.0,4.63
3,5,847.0,1.0,0.0,0.0,37.644
4,1,830.0,1.0,0.0,0.0,39.956
5,7,848.0,1.0,0.0,0.0,48.067
6,3,863.0,1.0,0.0,0.0,55.502
7,8,844.0,1.0,0.0,0.0,57.036
8,12,1.0,1.0,0.0,0.0,60.186
9,6,832.0,1.0,0.0,0.0,60.577
10,10,852.0,1.0,0.0,0.0,74.434
11,11,864.0,1.0,0.0,0.0,74.602
12,9,839.0,1.0,0.0,0.0,82.006
13,20,842.0,1.0,0.0,0.0,90.445
14,16,807.0,1.0,0.0,1.0,
15,17,4.0,1.0,0.0,1.0,
16,18,840.0,1.0,0.0,1.0,
NC,15,859.0,0.0,1.0,,
NC,13,865.0,0.0,1.0,,
NC,19,860.0,0.0,1.0,,
NC,14,862.0,0.0,1.0,,
1,2,830.0,1.0,0.0,0.0,0.0
