Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,2.0,1,1052,1.0,0.0,0.0,0.0
2,1.0,830,1052,1.0,0.0,0.0,0.745
3,3.0,822,1052,1.0,0.0,0.0,37.383
4,7.0,846,1052,1.0,0.0,0.0,46.466
5,11.0,815,1052,1.0,0.0,0.0,52.047
6,4.0,844,1052,1.0,0.0,0.0,59.09
7,6.0,817,1052,1.0,0.0,0.0,66.004
8,8.0,832,1052,1.0,0.0,0.0,67.1
9,13.0,852,1052,1.0,0.0,0.0,85.692
10,10.0,840,1052,1.0,0.0,0.0,86.713
11,14.0,8,1052,1.0,0.0,0.0,88.864
12,12.0,841,1052,1.0,0.0,1.0,
13,16.0,839,1052,1.0,0.0,1.0,
14,15.0,847,1052,1.0,0.0,1.0,
15,20.0,20,1052,1.0,0.0,1.0,
16,18.0,854,1052,1.0,0.0,1.0,
17,5.0,842,1052,0.0,1.0,,
18,17.0,849,1052,0.0,1.0,,
NC,9.0,4,1052,0.0,1.0,,
NC,19.0,853,1052,0.0,1.0,,
1,2.0,830,1053,1.0,0.0,0.0,0.0
2,1.0,1,1053,1.0,0.0,0.0,22.0
3,7.0,846,1053,1.0,0.0,0.0,23.702
4,4.0,844,1053,1.0,0.0,0.0,25.579
5,11.0,832,1053,1.0,0.0,0.0,27.036
6,6.0,817,1053,1.0,0.0,0.0,51.22
7,5.0,842,1053,1.0,0.0,0.0,52.818
8,10.0,840,1053,1.0,0.0,0.0,56.909
9,9.0,839,1053,1.0,0.0,0.0,65.704
10,15.0,4,1053,1.0,0.0,0.0,66.561
11,2.0,815,1053,1.0,0.0,0.0,67.151
12,20.0,852,1053,1.0,0.0,0.0,73.184
13,16.0,8,1053,1.0,0.0,0.0,94.773
14,17.0,841,1053,1.0,0.0,1.0,
15,13.0,20,1053,0.0,1.0,,
16,18.0,854,1053,1.0,0.0,2.0,
17,19.0,853,1053,1.0,0.0,2.0,
NC,8.0,822,1053,0.0,1.0,,
NC,12.0,847,1053,0.0,1.0,,
NC,14.0,849,1053,0.0,1.0,,
1,2.0,1,1054,1.0,0.0,0.0,0.0
2,3.0,830,1054,1.0,0.0,0.0,29.148
3,1.0,822,1054,1.0,0.0,0.0,33.53
4,4.0,815,1054,1.0,0.0,0.0,39.735
5,7.0,846,1054,1.0,0.0,0.0,51.369
6,8.0,844,1054,1.0,0.0,0.0,55.781
7,6.0,839,1054,1.0,0.0,0.0,63.749
8,13.0,4,1054,1.0,0.0,0.0,64.808
9,16.0,817,1054,1.0,0.0,0.0,75.369
10,9.0,842,1054,1.0,0.0,0.0,76.463
11,5.0,832,1054,1.0,0.0,0.0,78.955
12,12.0,841,1054,1.0,0.0,1.0,
13,10.0,20,1054,1.0,0.0,1.0,
14,17.0,840,1054,1.0,0.0,1.0,
15,14.0,852,1054,1.0,0.0,1.0,
16,11.0,847,1054,1.0,0.0,1.0,
17,19.0,854,1054,1.0,0.0,2.0,
18,18.0,849,1054,1.0,0.0,2.0,
19,20.0,853,1054,1.0,0.0,2.0,
NC,15.0,8,1054,0.0,1.0,,
1,1.0,1,1055,1.0,0.0,0.0,0.0
2,2.0,830,1055,1.0,0.0,0.0,15.841
