kaggle_driver_id,Driver,Team
1,Lewis Hamilton,Mercedes
822,Valtteri Bottas,Mercedes
830,Max Verstappen,Red Bull Racing
815,Sergio Perez,Red Bull Racing
844,Charles Leclerc,Ferrari
832,Carlos Sainz,Ferrari
846,Lando Norris,McLaren
817,Daniel Ricciardo,McLaren
839,Esteban Ocon,Alpine
4,Fernando Alonso,Alpine
842,Pierre Gasly,AlphaTauri
852,Yuki Tsunoda,AlphaTauri
840,Lance Stroll,Aston Martin
20,Sebastian Vettel,Aston Martin
847,George Russell,Williams
849,Nicholas Latifi,Williams
8,Kimi Raikkönen,Alfa Romeo
841,Antonio Giovinazzi,Alfa Romeo
854,Mick Schumacher,Haas
853,Nikita Mazepin,Haas
9,Robert Kubica,Alfa Romeo
