Position,Starting Grid,kaggle_driver_id,raceId,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
1,2.0,822,1010,2019,Mercedes,Australia,0,1,2.0,1.0,1.0,82.367,81.193,80.598
2,1.0,1,1010,2019,Mercedes,Australia,0,1,1.0,1.0,1.0,82.043,81.014,80.486
3,4.0,830,1010,2019,Red Bull Racing,Australia,0,1,4.0,1.0,1.0,82.876,81.678,81.32
4,3.0,20,1010,2019,Ferrari,Australia,0,1,3.0,1.0,1.0,82.885,81.912,81.19
5,5.0,844,1010,2019,Ferrari,Australia,0,1,5.0,1.0,1.0,82.017,81.739,81.44200000000001
6,7.0,825,1010,2019,Haas,Australia,0,1,7.0,1.0,1.0,82.519,82.221,82.099
7,11.0,807,1010,2019,Renault,Australia,0,1,11.0,1.0,0.0,82.53999999999999,82.562,
8,9.0,8,1010,2019,Alfa Romeo,Australia,0,1,9.0,1.0,1.0,82.96600000000001,82.349,82.314
9,16.0,840,1010,2019,Racing Point,Australia,0,1,16.0,0.0,0.0,83.017,,
10,15.0,826,1010,2019,Toro Rosso,Australia,0,1,15.0,1.0,0.0,82.511,82.774,
11,17.0,842,1010,2019,Toro Rosso,Australia,0,1,17.0,0.0,0.0,83.02,,
12,8.0,846,1010,2019,McLaren,Australia,0,1,8.0,1.0,1.0,82.702,82.423,82.304
13,10.0,815,1010,2019,Racing Point,Australia,0,1,10.0,1.0,1.0,82.908,82.532,82.781
14,13.0,848,1010,2019,Red Bull Racing,Australia,0,1,13.0,1.0,0.0,82.757,82.636,
15,14.0,841,1010,2019,Alfa Romeo,Australia,0,1,14.0,1.0,0.0,82.431,82.714,
16,19.0,847,1010,2019,Williams,Australia,0,1,19.0,0.0,0.0,84.36,,
17,20.0,9,1010,2019,Williams,Australia,0,1,20.0,0.0,0.0,86.06700000000001,,
21,6.0,154,1010,2019,Haas,Australia,0,1,6.0,1.0,1.0,82.959,81.87,81.826
21,12.0,817,1010,2019,Renault,Australia,0,1,12.0,1.0,0.0,82.92099999999999,82.57,
21,18.0,832,1010,2019,McLaren,Australia,0,1,18.0,0.0,0.0,83.084,,
1,3.0,1,1011,2019,Mercedes,Bahrain,0,1,3.0,1.0,1.0,89.262,88.578,88.19
2,4.0,822,1011,2019,Mercedes,Bahrain,0,1,4.0,1.0,1.0,89.498,88.83,88.256
3,1.0,844,1011,2019,Ferrari,Bahrain,0,1,1.0,1.0,1.0,88.495,88.04599999999999,87.866
4,5.0,830,1011,2019,Red Bull Racing,Bahrain,0,1,5.0,1.0,1.0,89.57900000000001,89.10900000000001,88.752
5,2.0,20,1011,2019,Ferrari,Bahrain,0,1,2.0,1.0,1.0,88.733,88.356,88.16
6,9.0,846,1011,2019,McLaren,Bahrain,0,1,10.0,1.0,1.0,89.381,89.258,89.043
7,8.0,8,1011,2019,Alfa Romeo,Bahrain,0,1,9.0,1.0,1.0,89.959,89.471,89.02199999999999
8,13.0,842,1011,2019,Toro Rosso,Bahrain,0,1,13.0,1.0,0.0,89.9,89.526,
9,12.0,848,1011,2019,Red Bull Racing,Bahrain,0,1,12.0,1.0,0.0,89.514,89.513,
10,14.0,815,1011,2019,Racing Point,Bahrain,0,1,14.0,1.0,0.0,89.893,89.756,
11,16.0,841,1011,2019,Alfa Romeo,Bahrain,0,1,16.0,0.0,0.0,90.026,,
12,15.0,826,1011,2019,Toro Rosso,Bahrain,0,1,15.0,1.0,0.0,89.876,89.854,
13,6.0,825,1011,2019,Haas,Bahrain,0,1,6.0,1.0,1.0,89.532,89.017,88.757
14,18.0,840,1011,2019,Racing Point,Bahrain,0,1,18.0,0.0,0.0,90.217,,
15,19.0,847,1011,2019,Williams,Bahrain,0,1,19.0,0.0,0.0,91.759,,
16,20.0,9,1011,2019,Williams,Bahrain,0,1,20.0,0.0,0.0,91.799,,
17,17.0,807,1011,2019,Renault,Bahrain,0,1,17.0,0.0,0.0,90.03399999999999,,
18,10.0,817,1011,2019,Renault,Bahrain,0,1,11.0,1.0,0.0,89.85900000000001,89.488,
19,7.0,832,1011,2019,McLaren,Bahrain,0,1,7.0,1.0,1.0,89.52799999999999,89.055,88.813
21,11.0,154,1011,2019,Haas,Bahrain,0,1,8.0,1.0,1.0,89.688,89.249,89.015
1,2.0,1,1012,2019,Mercedes,China,0,1,2.0,1.0,1.0,93.115,91.637,91.57
2,1.0,822,1012,2019,Mercedes,China,0,1,1.0,1.0,1.0,92.658,91.728,91.547
3,3.0,20,1012,2019,Ferrari,China,0,1,3.0,1.0,1.0,93.557,92.232,91.848
4,5.0,830,1012,2019,Red Bull Racing,China,0,1,5.0,1.0,1.0,93.274,92.369,92.089
5,4.0,844,1012,2019,Ferrari,China,0,1,4.0,1.0,1.0,92.712,92.324,91.865
6,6.0,842,1012,2019,Toro Rosso,China,0,1,6.0,1.0,1.0,93.863,92.948,92.93
7,7.0,817,1012,2019,Renault,China,0,1,7.0,1.0,1.0,93.709,93.214,92.958
8,12.0,815,1012,2019,Racing Point,China,0,1,12.0,1.0,0.0,94.026,93.299,
9,13.0,8,1012,2019,Alfa Romeo,China,0,1,13.0,1.0,0.0,94.125,93.419,
10,20.0,848,1012,2019,Red Bull Racing,China,0,1,,,,,,
11,10.0,154,1012,2019,Haas,China,0,1,10.0,1.0,0.0,93.752,93.156,
12,16.0,840,1012,2019,Racing Point,China,0,1,16.0,0.0,0.0,94.292,,
13,9.0,825,1012,2019,Haas,China,0,1,9.0,1.0,0.0,94.036,93.15,
14,14.0,832,1012,2019,McLaren,China,0,1,14.0,1.0,0.0,93.686,93.523,
15,19.0,841,1012,2019,Alfa Romeo,China,0,1,,,,,,
16,17.0,847,1012,2019,Williams,China,0,1,17.0,0.0,0.0,95.253,,
17,18.0,9,1012,2019,Williams,China,0,1,18.0,0.0,0.0,95.281,,
18,15.0,846,1012,2019,McLaren,China,0,1,15.0,1.0,0.0,94.148,93.967,
21,11.0,826,1012,2019,Toro Rosso,China,0,1,11.0,1.0,0.0,93.783,93.236,
21,8.0,807,1012,2019,Renault,China,0,1,8.0,1.0,1.0,93.644,93.968,92.962
1,1.0,822,1013,2019,Mercedes,Azerbaijan,0,1,1.0,1.0,1.0,102.026,101.5,100.495
2,2.0,1,1013,2019,Mercedes,Azerbaijan,0,1,2.0,1.0,1.0,101.614,101.58,100.554
3,3.0,20,1013,2019,Ferrari,Azerbaijan,0,1,3.0,1.0,1.0,102.042,101.889,100.797
4,4.0,830,1013,2019,Red Bull Racing,Azerbaijan,0,1,4.0,1.0,1.0,101.727,101.388,101.069
5,8.0,844,1013,2019,Ferrari,Azerbaijan,0,1,9.0,1.0,0.0,101.426,101.995,
6,5.0,815,1013,2019,Racing Point,Azerbaijan,0,1,5.0,1.0,1.0,102.249,101.87,101.593
