resultId,raceId,driverId,position,time,milliseconds,fastestLapTime,fastestLapSpeed
23782,989,20,1,1:29:33.283,5373283,1:26.469,220.782
23783,989,1,2,+5.036,5378319,1:26.444,220.845
23784,989,8,3,+6.309,5379592,1:26.373,221.027
23785,989,817,4,+7.069,5380352,1:25.945,222.128
23786,989,4,5,+27.886,5401169,1:26.978,219.489
23787,989,830,6,+28.945,5402228,1:26.880,219.737
23788,989,807,7,+32.671,5405954,1:27.081,219.230
23789,989,822,8,+34.339,5407622,1:27.019,219.386
23790,989,838,9,+34.921,5408204,1:26.958,219.540
23791,989,832,10,+45.722,5419005,1:27.944,217.079
23792,989,815,11,+46.817,5420100,1:27.633,217.849
23793,989,839,12,+1:00.278,5433561,1:27.600,217.931
23794,989,844,13,+1:15.759,5449042,1:28.759,215.085
23795,989,840,14,+1:18.288,5451571,1:28.511,215.688
23796,989,843,15,\N,\N,1:28.176,216.507
23797,989,154,\N,\N,\N,1:28.805,214.974
23798,989,825,\N,\N,\N,1:29.534,213.224
23799,989,842,\N,\N,\N,1:30.649,210.601
23800,989,828,\N,\N,\N,1:32.210,207.036
23801,989,845,\N,\N,\N,1:32.573,206.224
23802,990,20,1,1:32:01.940,5521940,1:34.453,206.274
23803,990,822,2,+0.699,5522639,1:33.740,207.842
23804,990,1,3,+6.512,5528452,1:33.953,207.371
23805,990,842,4,+1:02.234,5584174,1:34.863,205.382
23806,990,825,5,+1:15.046,5596986,1:34.327,206.549
23807,990,807,6,+1:39.024,5620964,1:34.667,205.807
23808,990,4,7,\N,\N,1:34.168,206.898
23809,990,838,8,\N,\N,1:35.131,204.803
23810,990,828,9,\N,\N,1:35.093,204.885
23811,990,839,10,\N,\N,1:35.043,204.993
23812,990,832,11,\N,\N,1:35.535,203.937
23813,990,844,12,\N,\N,1:35.075,204.924
23814,990,154,13,\N,\N,1:34.689,205.759
23815,990,840,14,\N,\N,1:35.058,204.961
23816,990,845,15,\N,\N,1:34.053,207.151
23817,990,815,16,\N,\N,1:35.266,204.513
23818,990,843,17,\N,\N,1:34.563,206.034
23819,990,8,\N,\N,\N,1:34.337,206.527
23820,990,830,\N,\N,\N,\N,\N
23821,990,817,\N,\N,\N,\N,\N
23822,991,817,1,1:35:36.380,5736380,1:35.785,204.871
23823,991,822,2,+8.894,5745274,1:36.987,202.332
23824,991,8,3,+9.637,5746017,1:36.456,203.446
23825,991,1,4,+16.985,5753365,1:36.878,202.559
23826,991,830,5,+20.436,5756816,1:36.206,203.974
23827,991,807,6,+21.052,5757432,1:36.881,202.553
23828,991,4,7,+30.639,5767019,1:37.234,201.818
23829,991,20,8,+35.286,5771666,1:37.479,201.311
23830,991,832,9,+35.763,5772143,1:37.754,200.744
23831,991,825,10,+39.594,5775974,1:38.152,199.930
23832,991,839,11,+44.050,5780430,1:37.985,200.271
23833,991,815,12,+44.725,5781105,1:37.673,200.911
23834,991,838,13,+49.373,5785753,1:38.137,199.961
23835,991,840,14,+55.490,5791870,1:38.500,199.224
23836,991,845,15,+58.241,5794621,1:38.624,198.973
23837,991,828,16,+1:02.604,5798984,1:38.386,199.455
23838,991,154,17,+1:05.296,5801676,1:37.410,201.453
23839,991,842,18,+1:06.330,5802710,1:38.367,199.493
23840,991,844,19,+1:22.575,5818955,1:38.808,198.603
23841,991,843,20,\N,\N,1:39.376,197.468
23842,992,1,1,1:43:44.291,6224291,1:45.412,205.012
23843,992,8,2,+2.460,6226751,1:46.523,202.874
23844,992,815,3,+4.024,6228315,1:46.206,203.480
23845,992,20,4,+5.329,6229620,1:45.530,204.783
23846,992,832,5,+7.515,6231806,1:46.856,202.242
23847,992,844,6,+9.158,6233449,1:47.403,201.212
23848,992,4,7,+10.931,6235222,1:47.449,201.126
23849,992,840,8,+12.546,6236837,1:46.815,202.319
23850,992,838,9,+14.152,6238443,1:47.666,200.720
23851,992,843,10,+18.030,6242321,1:48.288,199.567
23852,992,828,11,+18.512,6242803,1:47.925,200.239
23853,992,842,12,+24.720,6249011,1:48.035,200.035
23854,992,825,13,+40.663,6264954,1:48.155,199.813
23855,992,822,\N,\N,\N,1:45.149,205.525
23856,992,154,\N,\N,\N,1:46.880,202.196
23857,992,830,\N,\N,\N,1:45.771,204.316
23858,992,817,\N,\N,\N,1:45.419,204.999
23859,992,807,\N,\N,\N,1:48.867,198.506
23860,992,839,\N,\N,\N,\N,\N
23861,992,845,\N,\N,\N,\N,\N
23862,993,1,1,1:35:29.972,5729972,1:19.133,211.770
23863,993,822,2,+20.593,5750565,1:19.478,210.850
23864,993,830,3,+26.873,5756845,1:19.422,210.999
23865,993,20,4,+27.584,5757556,1:19.128,211.783
23866,993,817,5,+50.058,5780030,1:18.441,213.638
23867,993,825,6,\N,\N,1:20.246,208.832
23868,993,832,7,\N,\N,1:21.324,206.064
23869,993,4,8,\N,\N,1:20.727,207.588
23870,993,815,9,\N,\N,1:21.128,206.562
23871,993,844,10,\N,\N,1:22.122,204.062
23872,993,840,11,\N,\N,1:22.095,204.129
23873,993,843,12,\N,\N,1:21.439,205.773
23874,993,828,13,\N,\N,1:22.487,203.159
