Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
1,2.0,822,1010,1.0,0.0,0.0,0.0,2019,Mercedes,Australia,0,1,2.0,1.0,1.0,82.367,81.193,80.598
2,1.0,1,1010,1.0,0.0,0.0,20.886,2019,Mercedes,Australia,0,1,1.0,1.0,1.0,82.043,81.014,80.486
3,4.0,830,1010,1.0,0.0,0.0,22.52,2019,Red Bull Racing,Australia,0,1,4.0,1.0,1.0,82.876,81.678,81.32
4,3.0,20,1010,1.0,0.0,0.0,57.109,2019,Ferrari,Australia,0,1,3.0,1.0,1.0,82.885,81.912,81.19
5,5.0,844,1010,1.0,0.0,0.0,58.23,2019,Ferrari,Australia,0,1,5.0,1.0,1.0,82.017,81.739,81.44200000000001
6,7.0,825,1010,1.0,0.0,0.0,87.156,2019,Haas,Australia,0,1,7.0,1.0,1.0,82.519,82.221,82.099
7,11.0,807,1010,1.0,0.0,1.0,,2019,Renault,Australia,0,1,11.0,1.0,0.0,82.53999999999999,82.562,
8,9.0,8,1010,1.0,0.0,1.0,,2019,Alfa Romeo,Australia,0,1,9.0,1.0,1.0,82.96600000000001,82.349,82.314
9,16.0,840,1010,1.0,0.0,1.0,,2019,Racing Point,Australia,0,1,16.0,0.0,0.0,83.017,,
10,15.0,826,1010,1.0,0.0,1.0,,2019,Toro Rosso,Australia,0,1,15.0,1.0,0.0,82.511,82.774,
11,17.0,842,1010,1.0,0.0,1.0,,2019,Toro Rosso,Australia,0,1,17.0,0.0,0.0,83.02,,
12,8.0,846,1010,1.0,0.0,1.0,,2019,McLaren,Australia,0,1,8.0,1.0,1.0,82.702,82.423,82.304
13,10.0,815,1010,1.0,0.0,1.0,,2019,Racing Point,Australia,0,1,10.0,1.0,1.0,82.908,82.532,82.781
14,13.0,848,1010,1.0,0.0,1.0,,2019,Red Bull Racing,Australia,0,1,13.0,1.0,0.0,82.757,82.636,
15,14.0,841,1010,1.0,0.0,1.0,,2019,Alfa Romeo,Australia,0,1,14.0,1.0,0.0,82.431,82.714,
16,19.0,847,1010,1.0,0.0,2.0,,2019,Williams,Australia,0,1,19.0,0.0,0.0,84.36,,
17,20.0,9,1010,1.0,0.0,3.0,,2019,Williams,Australia,0,1,20.0,0.0,0.0,86.06700000000001,,
NC,6.0,154,1010,0.0,1.0,,,2019,Haas,Australia,0,1,6.0,1.0,1.0,82.959,81.87,81.826
NC,12.0,817,1010,0.0,1.0,,,2019,Renault,Australia,0,1,12.0,1.0,0.0,82.92099999999999,82.57,
NC,18.0,832,1010,0.0,1.0,,,2019,McLaren,Australia,0,1,18.0,0.0,0.0,83.084,,
1,3.0,1,1011,1.0,0.0,0.0,0.0,2019,Mercedes,Bahrain,0,1,3.0,1.0,1.0,89.262,88.578,88.19
2,4.0,822,1011,1.0,0.0,0.0,2.98,2019,Mercedes,Bahrain,0,1,4.0,1.0,1.0,89.498,88.83,88.256
3,1.0,844,1011,1.0,0.0,0.0,6.131,2019,Ferrari,Bahrain,0,1,1.0,1.0,1.0,88.495,88.04599999999999,87.866
4,5.0,830,1011,1.0,0.0,0.0,6.408,2019,Red Bull Racing,Bahrain,0,1,5.0,1.0,1.0,89.57900000000001,89.10900000000001,88.752
5,2.0,20,1011,1.0,0.0,0.0,36.068,2019,Ferrari,Bahrain,0,1,2.0,1.0,1.0,88.733,88.356,88.16
6,9.0,846,1011,1.0,0.0,0.0,45.754,2019,McLaren,Bahrain,0,1,10.0,1.0,1.0,89.381,89.258,89.043
7,8.0,8,1011,1.0,0.0,0.0,47.47,2019,Alfa Romeo,Bahrain,0,1,9.0,1.0,1.0,89.959,89.471,89.02199999999999
8,13.0,842,1011,1.0,0.0,0.0,58.094,2019,Toro Rosso,Bahrain,0,1,13.0,1.0,0.0,89.9,89.526,
9,12.0,848,1011,1.0,0.0,0.0,62.697,2019,Red Bull Racing,Bahrain,0,1,12.0,1.0,0.0,89.514,89.513,
10,14.0,815,1011,1.0,0.0,0.0,63.696,2019,Racing Point,Bahrain,0,1,14.0,1.0,0.0,89.893,89.756,
11,16.0,841,1011,1.0,0.0,0.0,64.599,2019,Alfa Romeo,Bahrain,0,1,16.0,0.0,0.0,90.026,,
12,15.0,826,1011,1.0,0.0,1.0,,2019,Toro Rosso,Bahrain,0,1,15.0,1.0,0.0,89.876,89.854,
13,6.0,825,1011,1.0,0.0,1.0,,2019,Haas,Bahrain,0,1,6.0,1.0,1.0,89.532,89.017,88.757
14,18.0,840,1011,1.0,0.0,1.0,,2019,Racing Point,Bahrain,0,1,18.0,0.0,0.0,90.217,,
15,19.0,847,1011,1.0,0.0,1.0,,2019,Williams,Bahrain,0,1,19.0,0.0,0.0,91.759,,
16,20.0,9,1011,1.0,0.0,2.0,,2019,Williams,Bahrain,0,1,20.0,0.0,0.0,91.799,,
17,17.0,807,1011,0.0,1.0,,,2019,Renault,Bahrain,0,1,17.0,0.0,0.0,90.03399999999999,,
18,10.0,817,1011,0.0,1.0,,,2019,Renault,Bahrain,0,1,11.0,1.0,0.0,89.85900000000001,89.488,
19,7.0,832,1011,0.0,1.0,,,2019,McLaren,Bahrain,0,1,7.0,1.0,1.0,89.52799999999999,89.055,88.813
