Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,1,844,1074,1.0,0.0,0.0,0.0
2,3,832,1074,1.0,0.0,0.0,5.598
3,5,1,1074,1.0,0.0,0.0,9.675
4,9,847,1074,1.0,0.0,0.0,11.211
5,7,825,1074,1.0,0.0,0.0,14.754
6,6,822,1074,1.0,0.0,0.0,16.119
7,11,839,1074,1.0,0.0,0.0,19.423
8,16,852,1074,1.0,0.0,0.0,20.386
9,8,4,1074,1.0,0.0,0.0,22.39
10,15,855,1074,1.0,0.0,0.0,23.064
11,12,854,1074,1.0,0.0,0.0,32.574
12,19,840,1074,1.0,0.0,0.0,45.873
13,14,848,1074,1.0,0.0,0.0,53.932
14,18,817,1074,1.0,0.0,0.0,54.975
15,13,846,1074,1.0,0.0,0.0,56.335
16,20,849,1074,1.0,0.0,0.0,61.795
17,17,807,1074,1.0,0.0,0.0,63.829
18,4,815,1074,0.0,1.0,,
19,2,830,1074,0.0,1.0,,
NC,10,842,1074,0.0,1.0,,
1,4,830,1075,1.0,0.0,0.0,0.0
2,2,844,1075,1.0,0.0,0.0,0.549
3,3,832,1075,1.0,0.0,0.0,8.097
4,1,815,1075,1.0,0.0,0.0,10.8
5,6,847,1075,1.0,0.0,0.0,32.732
6,5,839,1075,1.0,0.0,0.0,56.017
7,11,846,1075,1.0,0.0,0.0,56.124
8,9,842,1075,1.0,0.0,0.0,62.946
9,10,825,1075,1.0,0.0,0.0,64.308
10,15,1,1075,1.0,0.0,0.0,73.948
11,12,855,1075,1.0,0.0,0.0,82.215
12,17,807,1075,1.0,0.0,0.0,91.742
13,13,840,1075,1.0,0.0,1.0,
14,16,848,1075,0.0,1.0,,
NC,8,822,1075,0.0,1.0,,
NC,7,4,1075,0.0,1.0,,
NC,14,817,1075,0.0,1.0,,
NC,18,849,1075,0.0,1.0,,
NC,19,852,1075,0.0,1.0,,
NC,20,854,1075,0.0,1.0,,
1,1,844,1076,1.0,0.0,0.0,0.0
2,3,815,1076,1.0,0.0,0.0,20.524
3,6,847,1076,1.0,0.0,0.0,25.593
4,5,1,1076,1.0,0.0,0.0,28.543
5,4,846,1076,1.0,0.0,0.0,53.303
6,7,817,1076,1.0,0.0,0.0,53.737
7,8,839,1076,1.0,0.0,0.0,61.683
8,12,822,1076,1.0,0.0,0.0,68.439
9,11,842,1076,1.0,0.0,0.0,76.221
10,20,848,1076,1.0,0.0,0.0,79.382
11,14,855,1076,1.0,0.0,0.0,81.695
12,19,840,1076,1.0,0.0,0.0,88.598
13,15,854,1076,1.0,0.0,1.0,
14,16,825,1076,1.0,0.0,1.0,
15,13,852,1076,1.0,0.0,1.0,
16,18,849,1076,1.0,0.0,1.0,
17,10,4,1076,1.0,0.0,1.0,
NC,2,830,1076,0.0,1.0,,
NC,17,20,1076,0.0,1.0,,
NC,9,832,1076,0.0,1.0,,
1,1,830,1077,1.0,0.0,0.0,0.0
2,3,815,1077,1.0,0.0,0.0,16.527
3,5,846,1077,1.0,0.0,0.0,34.834
4,11,847,1077,1.0,0.0,0.0,42.506
5,7,822,1077,1.0,0.0,0.0,43.181
6,2,844,1077,1.0,0.0,0.0,56.072
7,12,852,1077,1.0,0.0,0.0,61.11
8,13,20,1077,1.0,0.0,0.0,70.892
9,8,825,1077,1.0,0.0,0.0,75.26
10,15,840,1077,1.0,0.0,1.0,
11,18,848,1077,1.0,0.0,1.0,
12,17,842,1077,1.0,0.0,1.0,
13,14,1,1077,1.0,0.0,1.0,
14,16,839,1077,1.0,0.0,1.0,
15,20,855,1077,1.0,0.0,1.0,
16,19,849,1077,1.0,0.0,1.0,
17,10,854,1077,1.0,0.0,1.0,
18,6,817,1077,1.0,0.0,1.0,
NC,9,4,1077,0.0,1.0,,
NC,4,832,1077,0.0,1.0,,
1,3,830,1078,1.0,0.0,0.0,0.0
2,1,844,1078,1.0,0.0,0.0,3.786
3,2,832,1078,1.0,0.0,0.0,8.229
