Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
1,1.0,830,1121,1.0,0.0,0.0,0.0,2024,Red Bull Racing,Bahrain,0,1
2,5.0,815,1121,1.0,0.0,0.0,22.457,2024,Red Bull Racing,Bahrain,0,1
3,4.0,832,1121,1.0,0.0,0.0,25.11,2024,Ferrari,Bahrain,0,1
4,2.0,844,1121,1.0,0.0,0.0,39.669,2024,Ferrari,Bahrain,0,1
5,3.0,847,1121,1.0,0.0,0.0,46.788,2024,Mercedes,Bahrain,0,1
6,7.0,846,1121,1.0,0.0,0.0,48.458,2024,McLaren,Bahrain,0,1
7,9.0,1,1121,1.0,0.0,0.0,50.324,2024,Mercedes,Bahrain,0,1
8,8.0,857,1121,1.0,0.0,0.0,56.082,2024,McLaren,Bahrain,0,1
9,6.0,4,1121,1.0,0.0,0.0,74.887,2024,Aston Martin,Bahrain,0,1
10,12.0,840,1121,1.0,0.0,0.0,93.216,2024,Aston Martin,Bahrain,0,1
11,17.0,855,1121,1.0,0.0,1.0,,2024,Kick Sauber,Bahrain,0,1
12,15.0,825,1121,1.0,0.0,1.0,,2024,Haas,Bahrain,0,1
13,14.0,817,1121,1.0,0.0,1.0,,2024,RB,Bahrain,0,1
14,11.0,852,1121,1.0,0.0,1.0,,2024,RB,Bahrain,0,1
15,13.0,848,1121,1.0,0.0,1.0,,2024,Williams,Bahrain,0,1
16,10.0,807,1121,1.0,0.0,1.0,,2024,Haas,Bahrain,0,1
17,19.0,839,1121,1.0,0.0,1.0,,2024,Alpine,Bahrain,0,1
18,20.0,842,1121,1.0,0.0,1.0,,2024,Alpine,Bahrain,0,1
19,16.0,822,1121,1.0,0.0,1.0,,2024,Kick Sauber,Bahrain,0,1
20,18.0,858,1121,1.0,0.0,2.0,,2024,Williams,Bahrain,0,1
1,1.0,830,1122,1.0,0.0,0.0,0.0,2024,Red Bull Racing,Saudi Arabia,0,1
2,3.0,815,1122,1.0,0.0,0.0,13.643,2024,Red Bull Racing,Saudi Arabia,0,1
3,2.0,844,1122,1.0,0.0,0.0,18.639,2024,Ferrari,Saudi Arabia,0,1
4,5.0,857,1122,1.0,0.0,0.0,32.007,2024,McLaren,Saudi Arabia,0,1
5,4.0,4,1122,1.0,0.0,0.0,35.759,2024,Aston Martin,Saudi Arabia,0,1
6,7.0,847,1122,1.0,0.0,0.0,39.936,2024,Mercedes,Saudi Arabia,0,1
7,11.0,860,1122,1.0,0.0,0.0,42.679,2024,Haas,Saudi Arabia,0,1
8,6.0,846,1122,1.0,0.0,0.0,45.708,2024,McLaren,Saudi Arabia,0,1
9,8.0,1,1122,1.0,0.0,0.0,47.391,2024,Mercedes,Saudi Arabia,0,1
10,15.0,807,1122,1.0,0.0,0.0,76.996,2024,Haas,Saudi Arabia,0,1
11,12.0,848,1122,1.0,0.0,0.0,88.354,2024,Williams,Saudi Arabia,0,1
12,13.0,825,1122,1.0,0.0,0.0,105.737,2024,Haas,Saudi Arabia,0,1
13,17.0,839,1122,1.0,0.0,1.0,,2024,Alpine,Saudi Arabia,0,1
14,19.0,858,1122,1.0,0.0,1.0,,2024,Williams,Saudi Arabia,0,1
15,9.0,852,1122,1.0,0.0,1.0,,2024,RB,Saudi Arabia,0,1
16,14.0,817,1122,1.0,0.0,1.0,,2024,RB,Saudi Arabia,0,1
17,16.0,822,1122,1.0,0.0,1.0,,2024,Kick Sauber,Saudi Arabia,0,1
