Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
1,2,822,1010,1.0,0.0,0.0,0.0,2019,Mercedes,Australia,0,1
2,1,1,1010,1.0,0.0,0.0,20.886,2019,Mercedes,Australia,0,1
3,4,830,1010,1.0,0.0,0.0,22.52,2019,Red Bull Racing,Australia,0,1
4,3,20,1010,1.0,0.0,0.0,57.109,2019,Ferrari,Australia,0,1
5,5,844,1010,1.0,0.0,0.0,58.23,2019,Ferrari,Australia,0,1
6,7,825,1010,1.0,0.0,0.0,87.156,2019,Haas,Australia,0,1
7,11,807,1010,1.0,0.0,1.0,,2019,Renault,Australia,0,1
8,9,8,1010,1.0,0.0,1.0,,2019,Alfa Romeo,Australia,0,1
9,16,840,1010,1.0,0.0,1.0,,2019,Racing Point,Australia,0,1
10,15,826,1010,1.0,0.0,1.0,,2019,Toro Rosso,Australia,0,1
11,17,842,1010,1.0,0.0,1.0,,2019,Toro Rosso,Australia,0,1
12,8,846,1010,1.0,0.0,1.0,,2019,McLaren,Australia,0,1
13,10,815,1010,1.0,0.0,1.0,,2019,Racing Point,Australia,0,1
14,13,848,1010,1.0,0.0,1.0,,2019,Red Bull Racing,Australia,0,1
15,14,841,1010,1.0,0.0,1.0,,2019,Alfa Romeo,Australia,0,1
16,19,847,1010,1.0,0.0,2.0,,2019,Williams,Australia,0,1
17,20,9,1010,1.0,0.0,3.0,,2019,Williams,Australia,0,1
NC,6,154,1010,0.0,1.0,,,2019,Haas,Australia,0,1
NC,12,817,1010,0.0,1.0,,,2019,Renault,Australia,0,1
NC,18,832,1010,0.0,1.0,,,2019,McLaren,Australia,0,1
1,3,1,1011,1.0,0.0,0.0,0.0,2019,Mercedes,Bahrain,0,1
2,4,822,1011,1.0,0.0,0.0,2.98,2019,Mercedes,Bahrain,0,1
3,1,844,1011,1.0,0.0,0.0,6.131,2019,Ferrari,Bahrain,0,1
4,5,830,1011,1.0,0.0,0.0,6.408,2019,Red Bull Racing,Bahrain,0,1
5,2,20,1011,1.0,0.0,0.0,36.068,2019,Ferrari,Bahrain,0,1
6,9,846,1011,1.0,0.0,0.0,45.754,2019,McLaren,Bahrain,0,1
7,8,8,1011,1.0,0.0,0.0,47.47,2019,Alfa Romeo,Bahrain,0,1
8,13,842,1011,1.0,0.0,0.0,58.094,2019,Toro Rosso,Bahrain,0,1
9,12,848,1011,1.0,0.0,0.0,62.697,2019,Red Bull Racing,Bahrain,0,1
10,14,815,1011,1.0,0.0,0.0,63.696,2019,Racing Point,Bahrain,0,1
11,16,841,1011,1.0,0.0,0.0,64.599,2019,Alfa Romeo,Bahrain,0,1
12,15,826,1011,1.0,0.0,1.0,,2019,Toro Rosso,Bahrain,0,1
13,6,825,1011,1.0,0.0,1.0,,2019,Haas,Bahrain,0,1
14,18,840,1011,1.0,0.0,1.0,,2019,Racing Point,Bahrain,0,1
15,19,847,1011,1.0,0.0,1.0,,2019,Williams,Bahrain,0,1
16,20,9,1011,1.0,0.0,2.0,,2019,Williams,Bahrain,0,1
17,17,807,1011,0.0,1.0,,,2019,Renault,Bahrain,0,1
18,10,817,1011,0.0,1.0,,,2019,Renault,Bahrain,0,1
19,7,832,1011,0.0,1.0,,,2019,McLaren,Bahrain,0,1
NC,11,154,1011,0.0,1.0,,,2019,Haas,Bahrain,0,1
1,2,1,1012,1.0,0.0,0.0,0.0,2019,Mercedes,China,0,1
2,1,822,1012,1.0,0.0,0.0,6.552,2019,Mercedes,China,0,1
3,3,20,1012,1.0,0.0,0.0,13.744,2019,Ferrari,China,0,1
4,5,830,1012,1.0,0.0,0.0,27.627,2019,Red Bull Racing,China,0,1
5,4,844,1012,1.0,0.0,0.0,31.276,2019,Ferrari,China,0,1
6,6,842,1012,1.0,0.0,0.0,89.307,2019,Toro Rosso,China,0,1
7,7,817,1012,1.0,0.0,1.0,,2019,Renault,China,0,1
8,12,815,1012,1.0,0.0,1.0,,2019,Racing Point,China,0,1
9,13,8,1012,1.0,0.0,1.0,,2019,Alfa Romeo,China,0,1
10,20,848,1012,1.0,0.0,1.0,,2019,Red Bull Racing,China,0,1
11,10,154,1012,1.0,0.0,1.0,,2019,Haas,China,0,1
12,16,840,1012,1.0,0.0,1.0,,2019,Racing Point,China,0,1
13,9,825,1012,1.0,0.0,1.0,,2019,Haas,China,0,1
14,14,832,1012,1.0,0.0,1.0,,2019,McLaren,China,0,1
15,19,841,1012,1.0,0.0,1.0,,2019,Alfa Romeo,China,0,1
16,17,847,1012,1.0,0.0,2.0,,2019,Williams,China,0,1
17,18,9,1012,1.0,0.0,2.0,,2019,Williams,China,0,1
18,15,846,1012,0.0,1.0,,,2019,McLaren,China,0,1
NC,11,826,1012,0.0,1.0,,,2019,Toro Rosso,China,0,1
NC,8,807,1012,0.0,1.0,,,2019,Renault,China,0,1
1,1,822,1013,1.0,0.0,0.0,0.0,2019,Mercedes,Azerbaijan,0,1
2,2,1,1013,1.0,0.0,0.0,1.524,2019,Mercedes,Azerbaijan,0,1
3,3,20,1013,1.0,0.0,0.0,11.739,2019,Ferrari,Azerbaijan,0,1
4,4,830,1013,1.0,0.0,0.0,17.493,2019,Red Bull Racing,Azerbaijan,0,1
5,8,844,1013,1.0,0.0,0.0,69.107,2019,Ferrari,Azerbaijan,0,1
6,5,815,1013,1.0,0.0,0.0,76.416,2019,Racing Point,Azerbaijan,0,1
7,9,832,1013,1.0,0.0,0.0,83.826,2019,McLaren,Azerbaijan,0,1
8,7,846,1013,1.0,0.0,0.0,100.268,2019,McLaren,Azerbaijan,0,1
9,13,840,1013,1.0,0.0,0.0,103.816,2019,Racing Point,Azerbaijan,0,1
10,19,8,1013,1.0,0.0,1.0,,2019,Alfa Romeo,Azerbaijan,0,1
11,11,848,1013,1.0,0.0,1.0,,2019,Red Bull Racing,Azerbaijan,0,1
12,17,841,1013,1.0,0.0,1.0,,2019,Alfa Romeo,Azerbaijan,0,1
13,12,825,1013,1.0,0.0,1.0,,2019,Haas,Azerbaijan,0,1
14,15,807,1013,1.0,0.0,1.0,,2019,Renault,Azerbaijan,0,1
15,16,847,1013,1.0,0.0,2.0,,2019,Williams,Azerbaijan,0,1
16,18,9,1013,1.0,0.0,2.0,,2019,Williams,Azerbaijan,0,1
NC,20,842,1013,0.0,1.0,,,2019,Toro Rosso,Azerbaijan,0,1
NC,14,154,1013,0.0,1.0,,,2019,Haas,Azerbaijan,0,1
NC,6,826,1013,0.0,1.0,,,2019,Toro Rosso,Azerbaijan,0,1
NC,10,817,1013,0.0,1.0,,,2019,Renault,Azerbaijan,0,1
1,2,1,1014,1.0,0.0,0.0,0.0,2019,Mercedes,Spain,0,1
2,1,822,1014,1.0,0.0,0.0,4.074,2019,Mercedes,Spain,0,1
3,4,830,1014,1.0,0.0,0.0,7.679,2019,Red Bull Racing,Spain,0,1
4,3,20,1014,1.0,0.0,0.0,9.167,2019,Ferrari,Spain,0,1
5,5,844,1014,1.0,0.0,0.0,13.361,2019,Ferrari,Spain,0,1
6,6,842,1014,1.0,0.0,0.0,19.576,2019,Toro Rosso,Spain,0,1
7,8,825,1014,1.0,0.0,0.0,28.159,2019,Haas,Spain,0,1
8,12,832,1014,1.0,0.0,0.0,32.342,2019,McLaren,Spain,0,1
9,9,826,1014,1.0,0.0,0.0,33.056,2019,Toro Rosso,Spain,0,1
10,7,154,1014,1.0,0.0,0.0,34.641,2019,Haas,Spain,0,1
11,11,848,1014,1.0,0.0,0.0,35.445,2019,Red Bull Racing,Spain,0,1
12,13,817,1014,1.0,0.0,0.0,36.758,2019,Renault,Spain,0,1
13,20,807,1014,1.0,0.0,0.0,39.241,2019,Renault,Spain,0,1
14,14,8,1014,1.0,0.0,0.0,41.803,2019,Alfa Romeo,Spain,0,1
15,15,815,1014,1.0,0.0,0.0,46.877,2019,Racing Point,Spain,0,1
16,18,841,1014,1.0,0.0,0.0,47.691,2019,Alfa Romeo,Spain,0,1
17,19,847,1014,1.0,0.0,1.0,,2019,Williams,Spain,0,1
18,17,9,1014,1.0,0.0,1.0,,2019,Williams,Spain,0,1
NC,16,840,1014,0.0,1.0,,,2019,Racing Point,Spain,0,1
NC,10,846,1014,0.0,1.0,,,2019,McLaren,Spain,0,1
1,1,1,1015,1.0,0.0,0.0,0.0,2019,Mercedes,Monaco,1,0
2,4,20,1015,1.0,0.0,0.0,2.602,2019,Ferrari,Monaco,1,0
3,2,822,1015,1.0,0.0,0.0,3.162,2019,Mercedes,Monaco,1,0
4,3,830,1015,1.0,0.0,0.0,5.537,2019,Red Bull Racing,Monaco,1,0
5,8,842,1015,1.0,0.0,0.0,9.946,2019,Toro Rosso,Monaco,1,0
6,9,832,1015,1.0,0.0,0.0,53.454,2019,McLaren,Monaco,1,0
7,7,826,1015,1.0,0.0,0.0,54.574,2019,Toro Rosso,Monaco,1,0
8,10,848,1015,1.0,0.0,0.0,55.2,2019,Red Bull Racing,Monaco,1,0
9,6,817,1015,1.0,0.0,0.0,60.894,2019,Renault,Monaco,1,0
10,13,154,1015,1.0,0.0,0.0,61.034,2019,Haas,Monaco,1,0
11,12,846,1015,1.0,0.0,0.0,66.801,2019,McLaren,Monaco,1,0
12,16,815,1015,1.0,0.0,1.0,,2019,Racing Point,Monaco,1,0
13,11,807,1015,1.0,0.0,1.0,,2019,Renault,Monaco,1,0
14,5,825,1015,1.0,0.0,1.0,,2019,Haas,Monaco,1,0
15,19,847,1015,1.0,0.0,1.0,,2019,Williams,Monaco,1,0
16,17,840,1015,1.0,0.0,1.0,,2019,Racing Point,Monaco,1,0
17,14,8,1015,1.0,0.0,1.0,,2019,Alfa Romeo,Monaco,1,0
18,20,9,1015,1.0,0.0,1.0,,2019,Williams,Monaco,1,0
19,18,841,1015,1.0,0.0,2.0,,2019,Alfa Romeo,Monaco,1,0
NC,15,844,1015,0.0,1.0,,,2019,Ferrari,Monaco,1,0
1,2,1,1016,1.0,0.0,0.0,0.0,2019,Mercedes,Canada,0,1
2,1,20,1016,1.0,0.0,0.0,3.658,2019,Ferrari,Canada,0,1
3,3,844,1016,1.0,0.0,0.0,4.696,2019,Ferrari,Canada,0,1
4,6,822,1016,1.0,0.0,0.0,51.043,2019,Mercedes,Canada,0,1
5,9,830,1016,1.0,0.0,0.0,57.655,2019,Red Bull Racing,Canada,0,1
6,4,817,1016,1.0,0.0,1.0,,2019,Renault,Canada,0,1
7,7,807,1016,1.0,0.0,1.0,,2019,Renault,Canada,0,1
8,5,842,1016,1.0,0.0,1.0,,2019,Toro Rosso,Canada,0,1
9,17,840,1016,1.0,0.0,1.0,,2019,Racing Point,Canada,0,1
10,10,826,1016,1.0,0.0,1.0,,2019,Toro Rosso,Canada,0,1
11,11,832,1016,1.0,0.0,1.0,,2019,McLaren,Canada,0,1
12,15,815,1016,1.0,0.0,1.0,,2019,Racing Point,Canada,0,1
13,12,841,1016,1.0,0.0,1.0,,2019,Alfa Romeo,Canada,0,1
14,14,154,1016,1.0,0.0,1.0,,2019,Haas,Canada,0,1
15,16,8,1016,1.0,0.0,1.0,,2019,Alfa Romeo,Canada,0,1
16,18,847,1016,1.0,0.0,2.0,,2019,Williams,Canada,0,1
17,20,825,1016,1.0,0.0,2.0,,2019,Haas,Canada,0,1
18,19,9,1016,1.0,0.0,3.0,,2019,Williams,Canada,0,1
NC,13,848,1016,0.0,1.0,,,2019,Red Bull Racing,Canada,0,1
NC,8,846,1016,0.0,1.0,,,2019,McLaren,Canada,0,1
1,1,1,1017,1.0,0.0,0.0,0.0,2019,Mercedes,France,0,1
2,2,822,1017,1.0,0.0,0.0,18.056,2019,Mercedes,France,0,1
3,3,844,1017,1.0,0.0,0.0,18.985,2019,Ferrari,France,0,1
4,4,830,1017,1.0,0.0,0.0,34.905,2019,Red Bull Racing,France,0,1
5,7,20,1017,1.0,0.0,0.0,62.796,2019,Ferrari,France,0,1
6,6,832,1017,1.0,0.0,0.0,95.462,2019,McLaren,France,0,1
7,12,8,1017,1.0,0.0,1.0,,2019,Alfa Romeo,France,0,1
8,13,807,1017,1.0,0.0,1.0,,2019,Renault,France,0,1
9,5,846,1017,1.0,0.0,1.0,,2019,McLaren,France,0,1
10,9,842,1017,1.0,0.0,1.0,,2019,Toro Rosso,France,0,1
11,8,817,1017,1.0,0.0,1.0,,2019,Renault,France,0,1
12,14,815,1017,1.0,0.0,1.0,,2019,Racing Point,France,0,1
13,17,840,1017,1.0,0.0,1.0,,2019,Racing Point,France,0,1
14,19,826,1017,1.0,0.0,1.0,,2019,Toro Rosso,France,0,1
15,11,848,1017,1.0,0.0,1.0,,2019,Red Bull Racing,France,0,1
16,10,841,1017,1.0,0.0,1.0,,2019,Alfa Romeo,France,0,1
17,15,825,1017,1.0,0.0,1.0,,2019,Haas,France,0,1
18,18,9,1017,1.0,0.0,2.0,,2019,Williams,France,0,1
19,20,847,1017,1.0,0.0,2.0,,2019,Williams,France,0,1
NC,16,154,1017,0.0,1.0,,,2019,Haas,France,0,1
1,2,830,1018,1.0,0.0,0.0,0.0,2019,Red Bull Racing,Austria,0,1
2,1,844,1018,1.0,0.0,0.0,2.724,2019,Ferrari,Austria,0,1
3,3,822,1018,1.0,0.0,0.0,18.96,2019,Mercedes,Austria,0,1
4,9,20,1018,1.0,0.0,0.0,19.61,2019,Ferrari,Austria,0,1
5,4,1,1018,1.0,0.0,0.0,22.805,2019,Mercedes,Austria,0,1
6,5,846,1018,1.0,0.0,1.0,,2019,McLaren,Austria,0,1
7,8,842,1018,1.0,0.0,1.0,,2019,Toro Rosso,Austria,0,1
8,19,832,1018,1.0,0.0,1.0,,2019,McLaren,Austria,0,1
9,6,8,1018,1.0,0.0,1.0,,2019,Alfa Romeo,Austria,0,1
10,7,841,1018,1.0,0.0,1.0,,2019,Alfa Romeo,Austria,0,1
11,13,815,1018,1.0,0.0,1.0,,2019,Racing Point,Austria,0,1
12,12,817,1018,1.0,0.0,1.0,,2019,Renault,Austria,0,1
13,15,807,1018,1.0,0.0,1.0,,2019,Renault,Austria,0,1
14,14,840,1018,1.0,0.0,1.0,,2019,Racing Point,Austria,0,1
15,18,848,1018,1.0,0.0,1.0,,2019,Red Bull Racing,Austria,0,1
16,11,154,1018,1.0,0.0,1.0,,2019,Haas,Austria,0,1
17,16,826,1018,1.0,0.0,1.0,,2019,Toro Rosso,Austria,0,1
18,20,847,1018,1.0,0.0,2.0,,2019,Williams,Austria,0,1
19,10,825,1018,1.0,0.0,2.0,,2019,Haas,Austria,0,1
20,17,9,1018,1.0,0.0,3.0,,2019,Williams,Austria,0,1
1,2,1,1019,1.0,0.0,0.0,0.0,2019,Mercedes,Great Britain,1,1
2,1,822,1019,1.0,0.0,0.0,24.928,2019,Mercedes,Great Britain,1,1
3,3,844,1019,1.0,0.0,0.0,30.117,2019,Ferrari,Great Britain,1,1
4,5,842,1019,1.0,0.0,0.0,34.692,2019,Toro Rosso,Great Britain,1,1
5,4,830,1019,1.0,0.0,0.0,39.458,2019,Red Bull Racing,Great Britain,1,1
6,13,832,1019,1.0,0.0,0.0,53.639,2019,McLaren,Great Britain,1,1
7,7,817,1019,1.0,0.0,0.0,54.401,2019,Renault,Great Britain,1,1
8,12,8,1019,1.0,0.0,0.0,65.54,2019,Alfa Romeo,Great Britain,1,1
9,17,826,1019,1.0,0.0,0.0,66.72,2019,Toro Rosso,Great Britain,1,1
10,10,807,1019,1.0,0.0,0.0,72.733,2019,Renault,Great Britain,1,1
11,8,846,1019,1.0,0.0,0.0,74.281,2019,McLaren,Great Britain,1,1
12,9,848,1019,1.0,0.0,0.0,75.617,2019,Red Bull Racing,Great Britain,1,1
13,18,840,1019,1.0,0.0,0.0,81.086,2019,Racing Point,Great Britain,1,1
14,19,847,1019,1.0,0.0,1.0,,2019,Williams,Great Britain,1,1
15,20,9,1019,1.0,0.0,1.0,,2019,Williams,Great Britain,1,1
16,6,20,1019,1.0,0.0,1.0,,2019,Ferrari,Great Britain,1,1
17,15,815,1019,1.0,0.0,1.0,,2019,Racing Point,Great Britain,1,1
NC,11,841,1019,0.0,1.0,,,2019,Alfa Romeo,Great Britain,1,1
NC,14,154,1019,0.0,1.0,,,2019,Haas,Great Britain,1,1
NC,16,825,1019,0.0,1.0,,,2019,Haas,Great Britain,1,1
1,2,830,1020,1.0,0.0,0.0,0.0,2019,Red Bull Racing,Germany,1,0
2,20,20,1020,1.0,0.0,0.0,7.333,2019,Ferrari,Germany,1,0
3,14,826,1020,1.0,0.0,0.0,8.305,2019,Toro Rosso,Germany,1,0
4,15,840,1020,1.0,0.0,0.0,8.966,2019,Racing Point,Germany,1,0
5,7,832,1020,1.0,0.0,0.0,9.583,2019,McLaren,Germany,1,0
6,16,848,1020,1.0,0.0,0.0,10.052,2019,Red Bull Racing,Germany,1,0
7,6,154,1020,1.0,0.0,0.0,16.838,2019,Haas,Germany,1,0
8,12,825,1020,1.0,0.0,0.0,18.765,2019,Haas,Germany,1,0
9,1,1,1020,1.0,0.0,0.0,19.667,2019,Mercedes,Germany,1,0
10,18,9,1020,1.0,0.0,0.0,24.987,2019,Williams,Germany,1,0
11,17,847,1020,1.0,0.0,0.0,26.404,2019,Williams,Germany,1,0
