Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team
1,1,822,1031,1.0,0.0,0.0,0.0,2020,Mercedes
2,7,844,1031,1.0,0.0,0.0,2.7,2020,Ferrari
3,3,846,1031,1.0,0.0,0.0,5.491,2020,McLaren
4,5,1,1031,1.0,0.0,0.0,5.689,2020,Mercedes
5,8,832,1031,1.0,0.0,0.0,8.903,2020,McLaren
6,6,815,1031,1.0,0.0,0.0,15.092,2020,Racing Point
7,12,842,1031,1.0,0.0,0.0,16.682,2020,AlphaTauri
8,14,839,1031,1.0,0.0,0.0,17.456,2020,Renault
9,18,841,1031,1.0,0.0,0.0,21.146,2020,Alfa Romeo
10,11,20,1031,1.0,0.0,0.0,24.545,2020,Ferrari
11,20,849,1031,1.0,0.0,0.0,31.65,2020,Williams
12,13,826,1031,0.0,1.0,,,2020,AlphaTauri
13,4,848,1031,0.0,1.0,,,2020,Red Bull Racing
NC,19,8,1031,0.0,1.0,,,2020,Alfa Romeo
NC,17,847,1031,0.0,1.0,,,2020,Williams
NC,15,154,1031,0.0,1.0,,,2020,Haas
NC,16,825,1031,0.0,1.0,,,2020,Haas
NC,9,840,1031,0.0,1.0,,,2020,Racing Point
NC,10,817,1031,0.0,1.0,,,2020,Renault
NC,2,830,1031,0.0,1.0,,,2020,Red Bull Racing
1,1,1,1032,1.0,0.0,0.0,0.0,2020,Mercedes
2,4,822,1032,1.0,0.0,0.0,13.719,2020,Mercedes
3,2,830,1032,1.0,0.0,0.0,33.698,2020,Red Bull Racing
4,6,848,1032,1.0,0.0,0.0,44.4,2020,Red Bull Racing
5,9,846,1032,1.0,0.0,0.0,61.47,2020,McLaren
6,17,815,1032,1.0,0.0,0.0,62.387,2020,Racing Point
7,12,840,1032,1.0,0.0,0.0,62.453,2020,Racing Point
8,8,817,1032,1.0,0.0,0.0,62.591,2020,Renault
9,3,832,1032,1.0,0.0,1.0,,2020,McLaren
10,13,826,1032,1.0,0.0,1.0,,2020,AlphaTauri
11,16,8,1032,1.0,0.0,1.0,,2020,Alfa Romeo
12,15,825,1032,1.0,0.0,1.0,,2020,Haas
13,20,154,1032,1.0,0.0,1.0,,2020,Haas
14,19,841,1032,1.0,0.0,1.0,,2020,Alfa Romeo
15,7,842,1032,1.0,0.0,1.0,,2020,AlphaTauri
16,11,847,1032,1.0,0.0,2.0,,2020,Williams
17,18,849,1032,1.0,0.0,2.0,,2020,Williams
NC,5,839,1032,0.0,1.0,,,2020,Renault
NC,14,844,1032,0.0,1.0,,,2020,Ferrari
NC,10,20,1032,0.0,1.0,,,2020,Ferrari
1,1,1,1033,1.0,0.0,0.0,0.0,2020,Mercedes
2,7,830,1033,1.0,0.0,0.0,8.702,2020,Red Bull Racing
3,2,822,1033,1.0,0.0,0.0,9.452,2020,Mercedes
4,3,840,1033,1.0,0.0,0.0,57.579,2020,Racing Point
