Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,1,830,1098,1.0,0.0,0.0,0.0
2,2,815,1098,1.0,0.0,0.0,11.987
3,5,4,1098,1.0,0.0,0.0,38.637
4,4,832,1098,1.0,0.0,0.0,48.052
5,7,1,1098,1.0,0.0,0.0,50.977
6,8,840,1098,1.0,0.0,0.0,54.502
7,6,847,1098,1.0,0.0,0.0,55.873
8,12,822,1098,1.0,0.0,0.0,72.647
9,20,842,1098,1.0,0.0,0.0,73.753
10,15,848,1098,1.0,0.0,0.0,89.774
11,14,852,1098,1.0,0.0,0.0,90.87
12,16,858,1098,1.0,0.0,1.0,
13,17,825,1098,1.0,0.0,1.0,
14,19,856,1098,1.0,0.0,1.0,
15,10,807,1098,1.0,0.0,1.0,
16,13,855,1098,1.0,0.0,1.0,
17,11,846,1098,1.0,0.0,2.0,
NC,9,839,1098,0.0,1.0,,
NC,3,844,1098,0.0,1.0,,
NC,18,857,1098,0.0,1.0,,
1,1,815,1099,1.0,0.0,0.0,0.0
2,15,830,1099,1.0,0.0,0.0,5.335
3,2,4,1099,1.0,0.0,0.0,20.728
4,3,847,1099,1.0,0.0,0.0,25.866
5,7,1,1099,1.0,0.0,0.0,31.065
6,4,832,1099,1.0,0.0,0.0,35.876
7,12,844,1099,1.0,0.0,0.0,43.162
8,6,839,1099,1.0,0.0,0.0,52.832
9,9,842,1099,1.0,0.0,0.0,54.747
10,13,825,1099,1.0,0.0,0.0,64.826
11,16,852,1099,1.0,0.0,0.0,67.494
12,10,807,1099,1.0,0.0,0.0,70.588
13,11,855,1099,1.0,0.0,0.0,76.06
14,18,856,1099,1.0,0.0,0.0,77.478
15,8,857,1099,1.0,0.0,0.0,85.021
16,20,858,1099,1.0,0.0,0.0,86.293
17,19,846,1099,1.0,0.0,0.0,86.445
18,14,822,1099,1.0,0.0,1.0,
NC,17,848,1099,0.0,1.0,,
NC,5,840,1099,0.0,1.0,,
1,1,830,1100,1.0,0.0,0.0,0.0
2,3,1,1100,1.0,0.0,0.0,0.179
3,4,4,1100,1.0,0.0,0.0,0.769
4,6,840,1100,1.0,0.0,0.0,3.082
5,20,815,1100,1.0,0.0,0.0,3.32
6,13,846,1100,1.0,0.0,0.0,3.701
7,10,807,1100,1.0,0.0,0.0,4.939
8,16,857,1100,1.0,0.0,0.0,5.382
9,17,855,1100,1.0,0.0,0.0,5.713
10,12,852,1100,1.0,0.0,0.0,6.052
11,19,822,1100,1.0,0.0,0.0,6.513
12,5,832,1100,1.0,0.0,0.0,6.594
13,9,842,1100,0.0,1.0,,
14,11,839,1100,0.0,1.0,,
15,15,856,1100,0.0,1.0,,
16,18,858,1100,0.0,1.0,,
17,14,825,1100,0.0,1.0,,
NC,2,847,1100,0.0,1.0,,
NC,8,848,1100,0.0,1.0,,
NC,7,844,1100,0.0,1.0,,
1,3,815,1101,1.0,0.0,0.0,0.0
2,2,830,1101,1.0,0.0,0.0,2.137
3,1,844,1101,1.0,0.0,0.0,21.217
4,6,4,1101,1.0,0.0,0.0,22.024
5,4,832,1101,1.0,0.0,0.0,45.491
6,5,1,1101,1.0,0.0,0.0,46.145
7,9,840,1101,1.0,0.0,0.0,51.617
8,11,847,1101,1.0,0.0,0.0,74.24
9,7,846,1101,1.0,0.0,0.0,80.376
10,8,852,1101,1.0,0.0,0.0,83.862
11,10,857,1101,1.0,0.0,0.0,86.501
12,12,848,1101,1.0,0.0,0.0,88.623
13,16,825,1101,1.0,0.0,0.0,89.729
14,17,842,1101,1.0,0.0,0.0,91.332
15,19,839,1101,1.0,0.0,0.0,97.794
16,14,858,1101,1.0,0.0,0.0,100.943
17,20,807,1101,1.0,0.0,1.0,
18,13,822,1101,1.0,0.0,1.0,
NC,15,855,1101,0.0,1.0,,
NC,18,856,1101,0.0,1.0,,
1,9,830,1102,1.0,0.0,0.0,0.0
2,1,815,1102,1.0,0.0,0.0,5.384
3,2,4,1102,1.0,0.0,0.0,26.305
4,6,847,1102,1.0,0.0,0.0,33.229
5,3,832,1102,1.0,0.0,0.0,42.511
6,13,1,1102,1.0,0.0,0.0,51.249
