Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
1,1,846.0,1.0,0.0,0.0,0.0,2025,McLaren,Australia,1145,1.0,1.0
2,3,830.0,1.0,0.0,0.0,0.895,2025,Red Bull Racing,Australia,1145,1.0,1.0
3,4,847.0,1.0,0.0,0.0,8.481,2025,Mercedes,Australia,1145,1.0,1.0
4,16,863.0,1.0,0.0,0.0,10.135,2025,Mercedes,Australia,1145,1.0,1.0
5,6,848.0,1.0,0.0,0.0,12.773,2025,Williams,Australia,1145,1.0,1.0
6,13,840.0,1.0,0.0,0.0,17.413,2025,Aston Martin,Australia,1145,1.0,1.0
7,17,807.0,1.0,0.0,0.0,18.423,2025,Kick Sauber,Australia,1145,1.0,1.0
8,7,844.0,1.0,0.0,0.0,19.826,2025,Ferrari,Australia,1145,1.0,1.0
9,2,857.0,1.0,0.0,0.0,20.448,2025,McLaren,Australia,1145,1.0,1.0
10,8,1.0,1.0,0.0,0.0,22.473,2025,Ferrari,Australia,1145,1.0,1.0
11,9,842.0,1.0,0.0,0.0,26.502,2025,Alpine,Australia,1145,1.0,1.0
12,5,852.0,1.0,0.0,0.0,29.884,2025,Red Bull Racing,Australia,1145,1.0,1.0
13,19,839.0,1.0,0.0,0.0,33.161,2025,Haas,Australia,1145,1.0,1.0
14,20,860.0,1.0,0.0,0.0,40.351,2025,Haas,Australia,1145,1.0,1.0
NC,18,859.0,0.0,1.0,,,2025,Racing Bulls,Australia,1145,1.0,1.0
NC,15,865.0,0.0,1.0,,,2025,Kick Sauber,Australia,1145,1.0,1.0
NC,12,4.0,0.0,1.0,,,2025,Aston Martin,Australia,1145,1.0,1.0
NC,10,832.0,0.0,1.0,,,2025,Williams,Australia,1145,1.0,1.0
NC,14,862.0,0.0,1.0,,,2025,Alpine,Australia,1145,1.0,1.0
NC,11,864.0,0.0,1.0,,,2025,Racing Bulls,Australia,1145,1.0,1.0
1,1,857.0,1.0,0.0,0.0,0.0,2025,McLaren,China,1146,0.0,1.0
2,3,846.0,1.0,0.0,0.0,9.748,2025,McLaren,China,1146,0.0,1.0
3,2,847.0,1.0,0.0,0.0,11.097,2025,Mercedes,China,1146,0.0,1.0
4,4,830.0,1.0,0.0,0.0,16.656,2025,Red Bull Racing,China,1146,0.0,1.0
5,11,839.0,1.0,0.0,0.0,49.969,2025,Haas,China,1146,0.0,1.0
6,8,863.0,1.0,0.0,0.0,53.748,2025,Mercedes,China,1146,0.0,1.0
7,10,848.0,1.0,0.0,0.0,56.321,2025,Williams,China,1146,0.0,1.0
8,17,860.0,1.0,0.0,0.0,61.303,2025,Haas,China,1146,0.0,1.0
9,14,840.0,1.0,0.0,0.0,70.204,2025,Aston Martin,China,1146,0.0,1.0
10,15,832.0,1.0,0.0,0.0,76.387,2025,Williams,China,1146,0.0,1.0
11,7,864.0,1.0,0.0,0.0,78.875,2025,Racing Bulls,China,1146,0.0,1.0
12,20,859.0,1.0,0.0,0.0,81.147,2025,Racing Bulls,China,1146,0.0,1.0
13,18,862.0,1.0,0.0,0.0,88.401,2025,Alpine,China,1146,0.0,1.0
14,19,865.0,1.0,0.0,1.0,,2025,Kick Sauber,China,1146,0.0,1.0
15,12,807.0,1.0,0.0,1.0,,2025,Kick Sauber,China,1146,0.0,1.0
16,9,852.0,1.0,0.0,1.0,,2025,Red Bull Racing,China,1146,0.0,1.0
NC,13,4.0,0.0,1.0,,,2025,Aston Martin,China,1146,0.0,1.0
DQ,6,844.0,0.0,1.0,,,2025,Ferrari,China,1146,0.0,1.0
DQ,5,1.0,0.0,1.0,,,2025,Ferrari,China,1146,0.0,1.0
DQ,16,842.0,0.0,1.0,,,2025,Alpine,China,1146,0.0,1.0
1,1,830.0,1.0,0.0,0.0,0.0,2025,Red Bull Racing,Japan,1147,1.0,1.0
2,2,846.0,1.0,0.0,0.0,1.423,2025,McLaren,Japan,1147,1.0,1.0
3,3,857.0,1.0,0.0,0.0,2.129,2025,McLaren,Japan,1147,1.0,1.0
4,4,844.0,1.0,0.0,0.0,16.097,2025,Ferrari,Japan,1147,1.0,1.0
5,5,847.0,1.0,0.0,0.0,17.362,2025,Mercedes,Japan,1147,1.0,1.0
6,6,863.0,1.0,0.0,0.0,18.671,2025,Mercedes,Japan,1147,1.0,1.0
7,8,1.0,1.0,0.0,0.0,29.182,2025,Ferrari,Japan,1147,1.0,1.0
8,7,864.0,1.0,0.0,0.0,37.134,2025,Racing Bulls,Japan,1147,1.0,1.0
9,9,848.0,1.0,0.0,0.0,40.367,2025,Williams,Japan,1147,1.0,1.0
10,10,860.0,1.0,0.0,0.0,54.529,2025,Haas,Japan,1147,1.0,1.0
11,12,4.0,1.0,0.0,0.0,57.333,2025,Aston Martin,Japan,1147,1.0,1.0
12,14,852.0,1.0,0.0,0.0,58.401,2025,Red Bull Racing,Japan,1147,1.0,1.0
13,11,842.0,1.0,0.0,0.0,62.122,2025,Alpine,Japan,1147,1.0,1.0
14,15,832.0,1.0,0.0,0.0,74.129,2025,Williams,Japan,1147,1.0,1.0
15,19,862.0,1.0,0.0,0.0,81.314,2025,Alpine,Japan,1147,1.0,1.0
16,16,807.0,1.0,0.0,0.0,81.957,2025,Kick Sauber,Japan,1147,1.0,1.0
17,13,859.0,1.0,0.0,0.0,82.734,2025,Racing Bulls,Japan,1147,1.0,1.0
18,18,839.0,1.0,0.0,0.0,83.438,2025,Haas,Japan,1147,1.0,1.0
19,17,865.0,1.0,0.0,0.0,83.897,2025,Kick Sauber,Japan,1147,1.0,1.0
20,20,840.0,1.0,0.0,1.0,,2025,Aston Martin,Japan,1147,1.0,1.0
1,1,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Bahrain,1148,0.0,1.0
2,3,847.0,1.0,0.0,0.0,15.499,2025,Mercedes,Bahrain,1148,0.0,1.0
3,6,846.0,1.0,0.0,0.0,16.273,2025,McLaren,Bahrain,1148,0.0,1.0
4,2,844.0,1.0,0.0,0.0,19.679,2025,Ferrari,Bahrain,1148,0.0,1.0
5,9,1.0,1.0,0.0,0.0,27.993,2025,Ferrari,Bahrain,1148,0.0,1.0
6,7,830.0,1.0,0.0,0.0,24.395,2025,Red Bull Racing,Bahrain,1148,0.0,1.0
7,4,842.0,1.0,0.0,0.0,36.002,2025,Alpine,Bahrain,1148,0.0,1.0
8,14,839.0,1.0,0.0,0.0,44.244,2025,Haas,Bahrain,1148,0.0,1.0
9,10,852.0,1.0,0.0,0.0,45.061,2025,Red Bull Racing,Bahrain,1148,0.0,1.0
10,20,860.0,1.0,0.0,0.0,47.594,2025,Haas,Bahrain,1148,0.0,1.0
11,5,863.0,1.0,0.0,0.0,48.016,2025,Mercedes,Bahrain,1148,0.0,1.0
12,15,848.0,1.0,0.0,0.0,48.839,2025,Williams,Bahrain,1148,0.0,1.0
13,12,864.0,1.0,0.0,0.0,56.314,2025,Racing Bulls,Bahrain,1148,0.0,1.0
14,11,862.0,1.0,0.0,0.0,57.806,2025,Alpine,Bahrain,1148,0.0,1.0
15,13,4.0,1.0,0.0,0.0,60.34,2025,Aston Martin,Bahrain,1148,0.0,1.0
16,17,859.0,1.0,0.0,0.0,64.435,2025,Racing Bulls,Bahrain,1148,0.0,1.0
17,19,840.0,1.0,0.0,0.0,65.489,2025,Aston Martin,Bahrain,1148,0.0,1.0
18,18,865.0,1.0,0.0,0.0,66.872,2025,Kick Sauber,Bahrain,1148,0.0,1.0
NC,8,832.0,0.0,1.0,,,2025,Williams,Bahrain,1148,0.0,1.0
DQ,16,807.0,0.0,1.0,,,2025,Kick Sauber,Bahrain,1148,0.0,1.0
1,2,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Saudi Arabia,1149,0.0,1.0
2,1,830.0,1.0,0.0,0.0,2.843,2025,Red Bull Racing,Saudi Arabia,1149,0.0,1.0
3,4,844.0,1.0,0.0,0.0,8.104,2025,Ferrari,Saudi Arabia,1149,0.0,1.0
