Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
1,1,830,1098,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Bahrain,0,1
2,2,815,1098,1.0,0.0,0.0,11.987,2023,Red Bull Racing,Bahrain,0,1
3,5,4,1098,1.0,0.0,0.0,38.637,2023,Aston Martin,Bahrain,0,1
4,4,832,1098,1.0,0.0,0.0,48.052,2023,Ferrari,Bahrain,0,1
5,7,1,1098,1.0,0.0,0.0,50.977,2023,Mercedes,Bahrain,0,1
6,8,840,1098,1.0,0.0,0.0,54.502,2023,Aston Martin,Bahrain,0,1
7,6,847,1098,1.0,0.0,0.0,55.873,2023,Mercedes,Bahrain,0,1
8,12,822,1098,1.0,0.0,0.0,72.647,2023,Alfa Romeo,Bahrain,0,1
9,20,842,1098,1.0,0.0,0.0,73.753,2023,Alpine,Bahrain,0,1
10,15,848,1098,1.0,0.0,0.0,89.774,2023,Williams,Bahrain,0,1
11,14,852,1098,1.0,0.0,0.0,90.87,2023,AlphaTauri,Bahrain,0,1
12,16,858,1098,1.0,0.0,1.0,,2023,Williams,Bahrain,0,1
13,17,825,1098,1.0,0.0,1.0,,2023,Haas F1 Team,Bahrain,0,1
14,19,856,1098,1.0,0.0,1.0,,2023,AlphaTauri,Bahrain,0,1
15,10,807,1098,1.0,0.0,1.0,,2023,Haas F1 Team,Bahrain,0,1
16,13,855,1098,1.0,0.0,1.0,,2023,Alfa Romeo,Bahrain,0,1
17,11,846,1098,1.0,0.0,2.0,,2023,McLaren,Bahrain,0,1
NC,9,839,1098,0.0,1.0,,,2023,Alpine,Bahrain,0,1
NC,3,844,1098,0.0,1.0,,,2023,Ferrari,Bahrain,0,1
NC,18,857,1098,0.0,1.0,,,2023,McLaren,Bahrain,0,1
1,1,815,1099,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Saudi Arabia,0,1
2,15,830,1099,1.0,0.0,0.0,5.335,2023,Red Bull Racing,Saudi Arabia,0,1
3,2,4,1099,1.0,0.0,0.0,20.728,2023,Aston Martin,Saudi Arabia,0,1
4,3,847,1099,1.0,0.0,0.0,25.866,2023,Mercedes,Saudi Arabia,0,1
5,7,1,1099,1.0,0.0,0.0,31.065,2023,Mercedes,Saudi Arabia,0,1
6,4,832,1099,1.0,0.0,0.0,35.876,2023,Ferrari,Saudi Arabia,0,1
7,12,844,1099,1.0,0.0,0.0,43.162,2023,Ferrari,Saudi Arabia,0,1
8,6,839,1099,1.0,0.0,0.0,52.832,2023,Alpine,Saudi Arabia,0,1
9,9,842,1099,1.0,0.0,0.0,54.747,2023,Alpine,Saudi Arabia,0,1
10,13,825,1099,1.0,0.0,0.0,64.826,2023,Haas F1 Team,Saudi Arabia,0,1
11,16,852,1099,1.0,0.0,0.0,67.494,2023,AlphaTauri,Saudi Arabia,0,1
12,10,807,1099,1.0,0.0,0.0,70.588,2023,Haas F1 Team,Saudi Arabia,0,1
13,11,855,1099,1.0,0.0,0.0,76.06,2023,Alfa Romeo,Saudi Arabia,0,1
14,18,856,1099,1.0,0.0,0.0,77.478,2023,AlphaTauri,Saudi Arabia,0,1
15,8,857,1099,1.0,0.0,0.0,85.021,2023,McLaren,Saudi Arabia,0,1
16,20,858,1099,1.0,0.0,0.0,86.293,2023,Williams,Saudi Arabia,0,1
17,19,846,1099,1.0,0.0,0.0,86.445,2023,McLaren,Saudi Arabia,0,1
18,14,822,1099,1.0,0.0,1.0,,2023,Alfa Romeo,Saudi Arabia,0,1
NC,17,848,1099,0.0,1.0,,,2023,Williams,Saudi Arabia,0,1
NC,5,840,1099,0.0,1.0,,,2023,Aston Martin,Saudi Arabia,0,1
1,1,830,1100,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Australia,0,1
2,3,1,1100,1.0,0.0,0.0,0.179,2023,Mercedes,Australia,0,1
3,4,4,1100,1.0,0.0,0.0,0.769,2023,Aston Martin,Australia,0,1
4,6,840,1100,1.0,0.0,0.0,3.082,2023,Aston Martin,Australia,0,1
5,20,815,1100,1.0,0.0,0.0,3.32,2023,Red Bull Racing,Australia,0,1
6,13,846,1100,1.0,0.0,0.0,3.701,2023,McLaren,Australia,0,1
7,10,807,1100,1.0,0.0,0.0,4.939,2023,Haas F1 Team,Australia,0,1
8,16,857,1100,1.0,0.0,0.0,5.382,2023,McLaren,Australia,0,1
9,17,855,1100,1.0,0.0,0.0,5.713,2023,Alfa Romeo,Australia,0,1
10,12,852,1100,1.0,0.0,0.0,6.052,2023,AlphaTauri,Australia,0,1
11,19,822,1100,1.0,0.0,0.0,6.513,2023,Alfa Romeo,Australia,0,1
12,5,832,1100,1.0,0.0,0.0,6.594,2023,Ferrari,Australia,0,1
13,9,842,1100,0.0,1.0,,,2023,Alpine,Australia,0,1
14,11,839,1100,0.0,1.0,,,2023,Alpine,Australia,0,1
15,15,856,1100,0.0,1.0,,,2023,AlphaTauri,Australia,0,1
16,18,858,1100,0.0,1.0,,,2023,Williams,Australia,0,1
17,14,825,1100,0.0,1.0,,,2023,Haas F1 Team,Australia,0,1
NC,2,847,1100,0.0,1.0,,,2023,Mercedes,Australia,0,1
NC,8,848,1100,0.0,1.0,,,2023,Williams,Australia,0,1
NC,7,844,1100,0.0,1.0,,,2023,Ferrari,Australia,0,1
1,3,815,1101,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Azerbaijan,0,1
2,2,830,1101,1.0,0.0,0.0,2.137,2023,Red Bull Racing,Azerbaijan,0,1
3,1,844,1101,1.0,0.0,0.0,21.217,2023,Ferrari,Azerbaijan,0,1
4,6,4,1101,1.0,0.0,0.0,22.024,2023,Aston Martin,Azerbaijan,0,1
5,4,832,1101,1.0,0.0,0.0,45.491,2023,Ferrari,Azerbaijan,0,1
6,5,1,1101,1.0,0.0,0.0,46.145,2023,Mercedes,Azerbaijan,0,1
7,9,840,1101,1.0,0.0,0.0,51.617,2023,Aston Martin,Azerbaijan,0,1
8,11,847,1101,1.0,0.0,0.0,74.24,2023,Mercedes,Azerbaijan,0,1
9,7,846,1101,1.0,0.0,0.0,80.376,2023,McLaren,Azerbaijan,0,1
10,8,852,1101,1.0,0.0,0.0,83.862,2023,AlphaTauri,Azerbaijan,0,1
11,10,857,1101,1.0,0.0,0.0,86.501,2023,McLaren,Azerbaijan,0,1
12,12,848,1101,1.0,0.0,0.0,88.623,2023,Williams,Azerbaijan,0,1
13,16,825,1101,1.0,0.0,0.0,89.729,2023,Haas F1 Team,Azerbaijan,0,1
14,17,842,1101,1.0,0.0,0.0,91.332,2023,Alpine,Azerbaijan,0,1
15,19,839,1101,1.0,0.0,0.0,97.794,2023,Alpine,Azerbaijan,0,1
16,14,858,1101,1.0,0.0,0.0,100.943,2023,Williams,Azerbaijan,0,1
17,20,807,1101,1.0,0.0,1.0,,2023,Haas F1 Team,Azerbaijan,0,1
18,13,822,1101,1.0,0.0,1.0,,2023,Alfa Romeo,Azerbaijan,0,1
NC,15,855,1101,0.0,1.0,,,2023,Alfa Romeo,Azerbaijan,0,1
NC,18,856,1101,0.0,1.0,,,2023,AlphaTauri,Azerbaijan,0,1
1,9,830,1102,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Miami,0,1
2,1,815,1102,1.0,0.0,0.0,5.384,2023,Red Bull Racing,Miami,0,1
3,2,4,1102,1.0,0.0,0.0,26.305,2023,Aston Martin,Miami,0,1
4,6,847,1102,1.0,0.0,0.0,33.229,2023,Mercedes,Miami,0,1
5,3,832,1102,1.0,0.0,0.0,42.511,2023,Ferrari,Miami,0,1
6,13,1,1102,1.0,0.0,0.0,51.249,2023,Mercedes,Miami,0,1
7,7,844,1102,1.0,0.0,0.0,52.988,2023,Ferrari,Miami,0,1
8,5,842,1102,1.0,0.0,0.0,55.67,2023,Alpine,Miami,0,1
9,8,839,1102,1.0,0.0,0.0,58.123,2023,Alpine,Miami,0,1
10,4,825,1102,1.0,0.0,0.0,62.945,2023,Haas F1 Team,Miami,0,1
11,17,852,1102,1.0,0.0,0.0,64.309,2023,AlphaTauri,Miami,0,1
12,18,840,1102,1.0,0.0,0.0,64.754,2023,Aston Martin,Miami,0,1
13,10,822,1102,1.0,0.0,0.0,71.637,2023,Alfa Romeo,Miami,0,1
14,11,848,1102,1.0,0.0,0.0,72.861,2023,Williams,Miami,0,1
15,12,807,1102,1.0,0.0,0.0,74.95,2023,Haas F1 Team,Miami,0,1
16,14,855,1102,1.0,0.0,0.0,78.44,2023,Alfa Romeo,Miami,0,1
17,16,846,1102,1.0,0.0,0.0,87.717,2023,McLaren,Miami,0,1
18,15,856,1102,1.0,0.0,0.0,88.949,2023,AlphaTauri,Miami,0,1
19,19,857,1102,1.0,0.0,1.0,,2023,McLaren,Miami,0,1
20,20,858,1102,1.0,0.0,1.0,,2023,Williams,Miami,0,1
1,1,830,1104,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Monaco,0,1
2,2,4,1104,1.0,0.0,0.0,27.921,2023,Aston Martin,Monaco,0,1
3,3,839,1104,1.0,0.0,0.0,36.99,2023,Alpine,Monaco,0,1
4,5,1,1104,1.0,0.0,0.0,39.062,2023,Mercedes,Monaco,0,1
5,8,847,1104,1.0,0.0,0.0,56.284,2023,Mercedes,Monaco,0,1
6,6,844,1104,1.0,0.0,0.0,61.89,2023,Ferrari,Monaco,0,1
7,7,842,1104,1.0,0.0,0.0,62.362,2023,Alpine,Monaco,0,1
8,4,832,1104,1.0,0.0,0.0,63.391,2023,Ferrari,Monaco,0,1
9,10,846,1104,1.0,0.0,1.0,,2023,McLaren,Monaco,0,1
10,11,857,1104,1.0,0.0,1.0,,2023,McLaren,Monaco,0,1
11,15,822,1104,1.0,0.0,1.0,,2023,Alfa Romeo,Monaco,0,1
12,12,856,1104,1.0,0.0,1.0,,2023,AlphaTauri,Monaco,0,1
13,19,855,1104,1.0,0.0,1.0,,2023,Alfa Romeo,Monaco,0,1
14,13,848,1104,1.0,0.0,1.0,,2023,Williams,Monaco,0,1
15,9,852,1104,1.0,0.0,2.0,,2023,AlphaTauri,Monaco,0,1
16,20,815,1104,1.0,0.0,2.0,,2023,Red Bull Racing,Monaco,0,1
17,18,807,1104,1.0,0.0,2.0,,2023,Haas F1 Team,Monaco,0,1
18,16,858,1104,1.0,0.0,2.0,,2023,Williams,Monaco,0,1
19,17,825,1104,0.0,1.0,,,2023,Haas F1 Team,Monaco,0,1
NC,14,840,1104,0.0,1.0,,,2023,Aston Martin,Monaco,0,1
1,1,830,1105,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Spain,0,1
2,4,1,1105,1.0,0.0,0.0,24.09,2023,Mercedes,Spain,0,1
3,12,847,1105,1.0,0.0,0.0,32.389,2023,Mercedes,Spain,0,1
4,11,815,1105,1.0,0.0,0.0,35.812,2023,Red Bull Racing,Spain,0,1
5,2,832,1105,1.0,0.0,0.0,45.698,2023,Ferrari,Spain,0,1
6,5,840,1105,1.0,0.0,0.0,63.32,2023,Aston Martin,Spain,0,1
7,8,4,1105,1.0,0.0,0.0,64.127,2023,Aston Martin,Spain,0,1
8,6,839,1105,1.0,0.0,0.0,69.242,2023,Alpine,Spain,0,1
9,13,855,1105,1.0,0.0,0.0,71.878,2023,Alfa Romeo,Spain,0,1
10,10,842,1105,1.0,0.0,0.0,73.53,2023,Alpine,Spain,0,1
11,19,844,1105,1.0,0.0,0.0,74.419,2023,Ferrari,Spain,0,1
12,15,852,1105,1.0,0.0,0.0,75.416,2023,AlphaTauri,Spain,0,1
13,9,857,1105,1.0,0.0,1.0,,2023,McLaren,Spain,0,1
14,14,856,1105,1.0,0.0,1.0,,2023,AlphaTauri,Spain,0,1
15,7,807,1105,1.0,0.0,1.0,,2023,Haas F1 Team,Spain,0,1
16,18,848,1105,1.0,0.0,1.0,,2023,Williams,Spain,0,1
17,3,846,1105,1.0,0.0,1.0,,2023,McLaren,Spain,0,1
18,17,825,1105,1.0,0.0,1.0,,2023,Haas F1 Team,Spain,0,1
19,16,822,1105,1.0,0.0,1.0,,2023,Alfa Romeo,Spain,0,1
20,20,858,1105,1.0,0.0,1.0,,2023,Williams,Spain,0,1
1,1,830,1106,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Canada,0,1
2,2,4,1106,1.0,0.0,0.0,9.57,2023,Aston Martin,Canada,0,1
3,3,1,1106,1.0,0.0,0.0,14.168,2023,Mercedes,Canada,0,1
4,10,844,1106,1.0,0.0,0.0,18.648,2023,Ferrari,Canada,0,1
5,11,832,1106,1.0,0.0,0.0,21.54,2023,Ferrari,Canada,0,1
6,12,815,1106,1.0,0.0,0.0,51.028,2023,Red Bull Racing,Canada,0,1
7,9,848,1106,1.0,0.0,0.0,60.813,2023,Williams,Canada,0,1
8,6,839,1106,1.0,0.0,0.0,61.692,2023,Alpine,Canada,0,1
9,16,840,1106,1.0,0.0,0.0,64.402,2023,Aston Martin,Canada,0,1
10,14,822,1106,1.0,0.0,0.0,64.432,2023,Alfa Romeo,Canada,0,1
11,8,857,1106,1.0,0.0,0.0,65.101,2023,McLaren,Canada,0,1
12,15,842,1106,1.0,0.0,0.0,65.249,2023,Alpine,Canada,0,1
13,7,846,1106,1.0,0.0,0.0,68.363,2023,McLaren,Canada,0,1
14,19,852,1106,1.0,0.0,0.0,73.423,2023,AlphaTauri,Canada,0,1
15,5,807,1106,1.0,0.0,1.0,,2023,Haas F1 Team,Canada,0,1
16,20,855,1106,1.0,0.0,1.0,,2023,Alfa Romeo,Canada,0,1
17,13,825,1106,1.0,0.0,1.0,,2023,Haas F1 Team,Canada,0,1
18,17,856,1106,1.0,0.0,1.0,,2023,AlphaTauri,Canada,0,1
NC,4,847,1106,0.0,1.0,,,2023,Mercedes,Canada,0,1
NC,18,858,1106,0.0,1.0,,,2023,Williams,Canada,0,1
1,1,830,1107,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Austria,0,1
2,2,844,1107,1.0,0.0,0.0,5.155,2023,Ferrari,Austria,0,1
3,15,815,1107,1.0,0.0,0.0,17.188,2023,Red Bull Racing,Austria,0,1
4,4,846,1107,1.0,0.0,0.0,26.327,2023,McLaren,Austria,0,1
