Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
1,4,830,1125,1.0,0.0,0.0,0.0,2024,Red Bull Racing,China,0,1
2,2,1,1125,1.0,0.0,0.0,13.043,2024,Mercedes,China,0,1
3,6,815,1125,1.0,0.0,0.0,15.258,2024,Red Bull Racing,China,0,1
4,7,844,1125,1.0,0.0,0.0,17.486,2024,Ferrari,China,0,1
5,5,832,1125,1.0,0.0,0.0,20.696,2024,Ferrari,China,0,1
6,1,846,1125,1.0,0.0,0.0,22.088,2024,McLaren,China,0,1
7,8,857,1125,1.0,0.0,0.0,24.713,2024,McLaren,China,0,1
8,11,847,1125,1.0,0.0,0.0,25.696,2024,Mercedes,China,0,1
9,10,855,1125,1.0,0.0,0.0,31.951,2024,Kick Sauber,China,0,1
10,12,825,1125,1.0,0.0,0.0,37.398,2024,Haas,China,0,1
11,14,817,1125,1.0,0.0,0.0,37.84,2024,RB,China,0,1
12,9,822,1125,1.0,0.0,0.0,38.295,2024,Kick Sauber,China,0,1
13,17,839,1125,1.0,0.0,0.0,39.841,2024,Alpine,China,0,1
14,15,840,1125,1.0,0.0,0.0,40.299,2024,Aston Martin,China,0,1
15,16,842,1125,1.0,0.0,0.0,40.838,2024,Alpine,China,0,1
16,19,852,1125,1.0,0.0,0.0,41.87,2024,RB,China,0,1
17,18,848,1125,1.0,0.0,0.0,42.998,2024,Williams,China,0,1
18,20,858,1125,1.0,0.0,0.0,46.352,2024,Williams,China,0,1
19,13,807,1125,1.0,0.0,0.0,49.63,2024,Haas,China,0,1
20,3,4,1125,0.0,1.0,,,2024,Aston Martin,China,0,1
1,1,830,1126,1.0,0.0,0.0,0.0,2024,Red Bull Racing,Miami,0,1
2,2,844,1126,1.0,0.0,0.0,3.371,2024,Ferrari,Miami,0,1
3,3,815,1126,1.0,0.0,0.0,5.095,2024,Red Bull Racing,Miami,0,1
4,4,817,1126,1.0,0.0,0.0,14.971,2024,RB,Miami,0,1
5,5,832,1126,1.0,0.0,0.0,15.222,2024,Ferrari,Miami,0,1
6,6,857,1126,1.0,0.0,0.0,15.75,2024,McLaren,Miami,0,1
7,10,807,1126,1.0,0.0,0.0,22.054,2024,Haas,Miami,0,1
8,15,852,1126,1.0,0.0,0.0,29.816,2024,RB,Miami,0,1
9,16,842,1126,1.0,0.0,0.0,31.88,2024,Alpine,Miami,0,1
10,18,858,1126,1.0,0.0,0.0,34.355,2024,Williams,Miami,0,1
11,17,855,1126,1.0,0.0,0.0,35.078,2024,Kick Sauber,Miami,0,1
12,11,847,1126,1.0,0.0,0.0,35.755,2024,Mercedes,Miami,0,1
13,20,848,1126,1.0,0.0,0.0,36.086,2024,Williams,Miami,0,1
14,19,822,1126,1.0,0.0,0.0,36.892,2024,Kick Sauber,Miami,0,1
15,13,839,1126,1.0,0.0,0.0,37.74,2024,Alpine,Miami,0,1
16,12,1,1126,1.0,0.0,0.0,49.347,2024,Mercedes,Miami,0,1
17,8,4,1126,1.0,0.0,0.0,59.409,2024,Aston Martin,Miami,0,1
18,14,825,1126,1.0,0.0,0.0,66.303,2024,Haas,Miami,0,1
NC,7,840,1126,0.0,1.0,,,2024,Aston Martin,Miami,0,1
NC,9,846,1126,0.0,1.0,,,2024,McLaren,Miami,0,1
1,1,830,1131,1.0,0.0,0.0,0.0,2024,Red Bull Racing,Austria,0,1
2,3,857,1131,1.0,0.0,0.0,4.616,2024,McLaren,Austria,0,1
3,2,846,1131,1.0,0.0,0.0,5.348,2024,McLaren,Austria,0,1
4,4,847,1131,1.0,0.0,0.0,8.354,2024,Mercedes,Austria,0,1
5,5,832,1131,1.0,0.0,0.0,9.989,2024,Ferrari,Austria,0,1
6,6,1,1131,1.0,0.0,0.0,11.207,2024,Mercedes,Austria,0,1
7,10,844,1131,1.0,0.0,0.0,13.424,2024,Ferrari,Austria,0,1
8,7,815,1131,1.0,0.0,0.0,17.409,2024,Red Bull Racing,Austria,0,1
9,11,825,1131,1.0,0.0,0.0,24.067,2024,Haas,Austria,0,1
10,12,840,1131,1.0,0.0,0.0,30.175,2024,Aston Martin,Austria,0,1
11,8,839,1131,1.0,0.0,0.0,30.839,2024,Alpine,Austria,0,1
12,9,842,1131,1.0,0.0,0.0,31.308,2024,Alpine,Austria,0,1
13,14,852,1131,1.0,0.0,0.0,35.452,2024,RB,Austria,0,1
14,16,817,1131,1.0,0.0,0.0,39.397,2024,RB,Austria,0,1
15,13,4,1131,1.0,0.0,0.0,43.155,2024,Aston Martin,Austria,0,1
16,15,858,1131,1.0,0.0,0.0,44.076,2024,Williams,Austria,0,1
17,20,848,1131,1.0,0.0,0.0,44.673,2024,Williams,Austria,0,1
18,18,822,1131,1.0,0.0,0.0,46.511,2024,Kick Sauber,Austria,0,1
19,17,807,1131,1.0,0.0,0.0,48.423,2024,Haas,Austria,0,1
20,19,855,1131,1.0,0.0,0.0,53.143,2024,Kick Sauber,Austria,0,1
1,1,830,1139,1.0,0.0,0.0,0.0,2024,Red Bull Racing,United States,0,1
2,5,832,1139,1.0,0.0,0.0,3.882,2024,Ferrari,United States,0,1
3,4,846,1139,1.0,0.0,0.0,6.24,2024,McLaren,United States,0,1
4,3,844,1139,1.0,0.0,0.0,6.956,2024,Ferrari,United States,0,1
5,2,847,1139,1.0,0.0,0.0,15.766,2024,Mercedes,United States,0,1
6,7,1,1139,1.0,0.0,0.0,18.724,2024,Mercedes,United States,0,1
7,8,825,1139,1.0,0.0,0.0,25.161,2024,Haas,United States,0,1
8,6,807,1139,1.0,0.0,0.0,26.588,2024,Haas,United States,0,1
9,11,815,1139,1.0,0.0,0.0,29.95,2024,Red Bull Racing,United States,0,1
10,16,857,1139,1.0,0.0,0.0,37.059,2024,McLaren,United States,0,1
11,9,852,1139,1.0,0.0,0.0,38.363,2024,RB,United States,0,1
12,10,861,1139,1.0,0.0,0.0,39.46,2024,Williams,United States,0,1
13,13,840,1139,1.0,0.0,0.0,41.236,2024,Aston Martin,United States,0,1
14,12,842,1139,1.0,0.0,0.0,41.995,2024,Alpine,United States,0,1
15,17,839,1139,1.0,0.0,0.0,42.804,2024,Alpine,United States,0,1
16,15,859,1139,1.0,0.0,0.0,44.008,2024,RB,United States,0,1
17,20,848,1139,1.0,0.0,0.0,44.564,2024,Williams,United States,0,1
18,14,4,1139,1.0,0.0,0.0,46.807,2024,Aston Martin,United States,0,1
19,19,855,1139,1.0,0.0,0.0,52.842,2024,Kick Sauber,United States,0,1
20,18,822,1139,1.0,0.0,0.0,54.476,2024,Kick Sauber,United States,0,1
1,2,846,1141,1.0,0.0,0.0,0.0,2024,McLaren,Brazil,1,0
2,1,857,1141,1.0,0.0,0.0,0.593,2024,McLaren,Brazil,1,0
3,3,844,1141,1.0,0.0,0.0,5.656,2024,Ferrari,Brazil,1,0
4,4,830,1141,1.0,0.0,0.0,6.497,2024,Red Bull Racing,Brazil,1,0
5,5,832,1141,1.0,0.0,0.0,7.224,2024,Ferrari,Brazil,1,0
6,6,847,1141,1.0,0.0,0.0,12.475,2024,Mercedes,Brazil,1,0
7,7,842,1141,1.0,0.0,0.0,18.161,2024,Alpine,Brazil,1,0
8,13,815,1141,1.0,0.0,0.0,18.717,2024,Red Bull Racing,Brazil,1,0
9,8,859,1141,1.0,0.0,0.0,20.773,2024,RB,Brazil,1,0
10,9,848,1141,1.0,0.0,0.0,24.606,2024,Williams,Brazil,1,0
11,11,1,1141,1.0,0.0,0.0,29.764,2024,Mercedes,Brazil,1,0
12,14,861,1141,1.0,0.0,0.0,33.233,2024,Williams,Brazil,1,0
13,16,839,1141,1.0,0.0,0.0,34.128,2024,Alpine,Brazil,1,0
14,10,860,1141,1.0,0.0,0.0,35.507,2024,Haas,Brazil,1,0
15,17,852,1141,1.0,0.0,0.0,41.374,2024,RB,Brazil,1,0
16,15,822,1141,1.0,0.0,0.0,43.231,2024,Kick Sauber,Brazil,1,0
17,20,855,1141,1.0,0.0,0.0,54.139,2024,Kick Sauber,Brazil,1,0
18,18,4,1141,1.0,0.0,0.0,56.537,2024,Aston Martin,Brazil,1,0
19,19,840,1141,1.0,0.0,0.0,57.983,2024,Aston Martin,Brazil,1,0
NC,12,807,1141,0.0,1.0,,,2024,Haas,Brazil,1,0
1,3,857,1143,1.0,0.0,0.0,0.0,2024,McLaren,Qatar,0,1
2,1,846,1143,1.0,0.0,0.0,0.136,2024,McLaren,Qatar,0,1
3,2,847,1143,1.0,0.0,0.0,0.41,2024,Mercedes,Qatar,0,1
4,4,832,1143,1.0,0.0,0.0,1.326,2024,Ferrari,Qatar,0,1
5,5,844,1143,1.0,0.0,0.0,5.073,2024,Ferrari,Qatar,0,1
6,7,1,1143,1.0,0.0,0.0,5.65,2024,Mercedes,Qatar,0,1
7,9,807,1143,1.0,0.0,0.0,8.508,2024,Haas,Qatar,0,1
8,6,830,1143,1.0,0.0,0.0,10.368,2024,Red Bull Racing,Qatar,0,1
9,8,842,1143,1.0,0.0,0.0,14.513,2024,Alpine,Qatar,0,1
10,15,825,1143,1.0,0.0,0.0,15.485,2024,Haas,Qatar,0,1
11,11,4,1143,1.0,0.0,0.0,19.24,2024,Aston Martin,Qatar,0,1
12,13,822,1143,1.0,0.0,0.0,23.351,2024,Kick Sauber,Qatar,0,1
13,14,840,1143,1.0,0.0,0.0,24.421,2024,Aston Martin,Qatar,0,1
14,17,839,1143,1.0,0.0,0.0,30.379,2024,Alpine,Qatar,0,1
15,12,848,1143,1.0,0.0,0.0,33.062,2024,Williams,Qatar,0,1
16,10,859,1143,1.0,0.0,0.0,34.356,2024,RB,Qatar,0,1
17,16,852,1143,1.0,0.0,0.0,35.102,2024,RB,Qatar,0,1
18,20,861,1143,1.0,0.0,0.0,35.639,2024,Williams,Qatar,0,1
