Unnamed: 0,raceId,Track,Team,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
0,1074,Bahrain,Ferrari,844,1,1,1,91.471,90.932,90.558
1,1074,Bahrain,Red Bull Racing RBPT,830,2,1,1,91.785,90.757,90.681
2,1074,Bahrain,Ferrari,832,3,1,1,91.567,90.787,90.687
3,1074,Bahrain,Red Bull Racing RBPT,815,4,1,1,92.311,91.008,90.921
4,1074,Bahrain,Mercedes,1,5,1,1,92.285,91.048,91.238
5,1074,Bahrain,Alfa Romeo Ferrari,822,6,1,1,91.919,91.717,91.56
6,1074,Bahrain,Haas Ferrari,825,7,1,1,91.955,91.461,91.808
7,1074,Bahrain,Alpine Renault,4,8,1,1,92.346,91.621,92.195
8,1074,Bahrain,Mercedes,847,9,1,1,92.269,91.252,92.216
9,1074,Bahrain,AlphaTauri RBPT,842,10,1,1,92.096,91.635,92.338
10,1074,Bahrain,Alpine Renault,839,11,1,0,92.041,91.782,
11,1074,Bahrain,Haas Ferrari,854,12,1,0,92.38,91.998,
12,1074,Bahrain,McLaren Mercedes,846,13,1,0,92.239,92.008,
13,1074,Bahrain,Williams Mercedes,848,14,1,0,92.726,92.664,
14,1074,Bahrain,Alfa Romeo Ferrari,855,15,1,0,92.493,93.543,
15,1074,Bahrain,AlphaTauri RBPT,852,16,0,0,92.75,,
16,1074,Bahrain,Aston Martin Aramco Mercedes,807,17,0,0,92.777,,
17,1074,Bahrain,McLaren Mercedes,817,18,0,0,92.945,,
18,1074,Bahrain,Aston Martin Aramco Mercedes,840,19,0,0,93.032,,
19,1074,Bahrain,Williams Mercedes,849,20,0,0,93.634,,
20,1075,Saudi Arabia,Red Bull Racing RBPT,815,1,1,1,89.705,88.924,88.2
21,1075,Saudi Arabia,Ferrari,844,2,1,1,89.039,88.78,88.225
22,1075,Saudi Arabia,Ferrari,832,3,1,1,88.855,88.68860000000001,88.402
