Track,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,year,Team
Australia,846,1,1,1,75.912,75.41499999999999,75.096,2025,McLaren
Australia,857,2,1,1,76.062,75.468,75.18,2025,McLaren
Australia,830,3,1,1,76.018,75.565,75.481,2025,Red Bull Racing
Australia,847,4,1,1,75.971,75.798,75.54599999999999,2025,Mercedes
Australia,852,5,1,1,76.225,76.009,75.67,2025,Red Bull Racing
Australia,848,6,1,1,76.245,76.017,75.737,2025,Williams
Australia,844,7,1,1,76.029,75.827,75.755,2025,Ferrari
Australia,1,8,1,1,76.213,75.919,75.973,2025,Ferrari
Australia,842,9,1,1,76.328,76.112,75.98,2025,Alpine
Australia,832,10,1,1,76.36,75.931,76.062,2025,Williams
Australia,864,11,1,0,76.354,76.175,,2025,Racing Bulls
Australia,4,12,1,0,76.288,76.453,,2025,Aston Martin
Australia,840,13,1,0,76.369,76.483,,2025,Aston Martin
Australia,862,14,1,0,76.315,76.863,,2025,Alpine
Australia,865,15,1,0,76.51599999999999,77.52,,2025,Kick Sauber
Australia,863,16,0,0,76.525,,,2025,Mercedes
Australia,807,17,0,0,76.57900000000001,,,2025,Kick Sauber
Australia,859,18,0,0,77.094,,,2025,Racing Bulls
Australia,839,19,0,0,77.14699999999999,,,2025,Haas
Australia,860,NC,0,0,,,,2025,Haas
China,857,1,1,1,91.591,91.2,90.641,2025,McLaren
China,847,2,1,1,91.295,91.307,90.723,2025,Mercedes
China,846,3,1,1,90.983,90.787,90.793,2025,McLaren
China,830,4,1,1,91.424,91.142,90.817,2025,Red Bull Racing
China,1,5,1,1,91.69,91.501,90.927,2025,Ferrari
China,844,6,1,1,91.579,91.45,91.021,2025,Ferrari
China,864,7,1,1,91.162,91.253,91.079,2025,Racing Bulls
China,863,8,1,1,91.676,91.59,91.103,2025,Mercedes
China,852,9,1,1,91.238,91.26,91.638,2025,Red Bull Racing
China,848,10,1,1,91.503,91.595,91.706,2025,Williams
China,839,11,1,0,91.876,91.625,,2025,Haas
China,807,12,1,0,91.921,91.632,,2025,Kick Sauber
China,4,13,1,0,91.719,91.688,,2025,Aston Martin
China,840,14,1,0,91.923,91.773,,2025,Aston Martin
China,832,15,1,0,91.628,91.84,,2025,Williams
China,842,16,0,0,91.992,,,2025,Alpine
China,860,17,0,0,92.018,,,2025,Haas
China,862,18,0,0,92.092,,,2025,Alpine
China,865,19,0,0,92.141,,,2025,Kick Sauber
China,859,20,0,0,92.174,,,2025,Racing Bulls
Japan,830,1,1,1,87.943,87.502,86.983,2025,Red Bull Racing
Japan,846,2,1,1,87.845,87.146,86.995,2025,McLaren
Japan,857,3,1,1,87.687,87.507,87.207,2025,McLaren
Japan,844,4,1,1,87.92,87.555,87.299,2025,Ferrari
Japan,847,5,1,1,87.843,87.4,87.318,2025,Mercedes
Japan,863,6,1,1,87.968,87.639,87.555,2025,Mercedes
Japan,864,7,1,1,88.27799999999999,87.775,87.569,2025,Racing Bulls
Japan,1,8,1,1,87.94200000000001,87.61,87.61,2025,Ferrari
Japan,848,9,1,1,88.218,87.783,87.615,2025,Williams
Japan,860,10,1,1,88.22800000000001,87.711,87.867,2025,Haas
Japan,842,11,1,0,88.186,87.822,,2025,Alpine
Japan,832,12,1,0,88.209,87.836,,2025,Williams
Japan,4,13,1,0,88.337,87.89699999999999,,2025,Aston Martin
Japan,859,14,1,0,88.554,87.906,,2025,Racing Bulls
Japan,852,15,1,0,87.967,88.0,,2025,Red Bull Racing
Japan,807,16,0,0,88.57,,,2025,Kick Sauber
Japan,865,17,0,0,88.622,,,2025,Kick Sauber
Japan,839,18,0,0,88.696,,,2025,Haas
Japan,862,19,0,0,88.877,,,2025,Alpine
Japan,840,20,0,0,89.271,,,2025,Aston Martin
Bahrain,857,1,1,1,91.392,90.454,89.84100000000001,2025,McLaren
Bahrain,847,2,1,1,91.494,90.664,90.009,2025,Mercedes
Bahrain,844,3,1,1,91.454,90.724,90.175,2025,Ferrari
Bahrain,863,4,1,1,91.415,90.716,90.213,2025,Mercedes
Bahrain,842,5,1,1,91.462,90.643,90.216,2025,Alpine
Bahrain,846,6,1,1,91.107,90.56,90.267,2025,McLaren
Bahrain,830,7,1,1,91.303,91.019,90.423,2025,Red Bull Racing
Bahrain,832,8,1,1,91.591,90.844,90.68,2025,Williams
Bahrain,1,9,1,1,91.219,91.009,90.772,2025,Ferrari
Bahrain,852,10,1,1,91.751,91.228,91.303,2025,Red Bull Racing
Bahrain,862,11,1,0,91.414,91.245,,2025,Alpine
Bahrain,864,12,1,0,91.591,91.271,,2025,Racing Bulls
Bahrain,4,13,1,0,91.634,91.886,,2025,Aston Martin
Bahrain,839,14,1,0,91.594,,,2025,Haas
Bahrain,848,15,0,0,92.04,,,2025,Williams
Bahrain,807,16,0,0,92.067,,,2025,Kick Sauber
Bahrain,859,17,0,0,92.165,,,2025,Racing Bulls
Bahrain,865,18,0,0,92.186,,,2025,Kick Sauber
Bahrain,840,19,0,0,92.283,,,2025,Aston Martin
Bahrain,860,20,0,0,92.373,,,2025,Haas
Saudi Arabia,830,1,1,1,87.77799999999999,87.529,87.294,2025,Red Bull Racing
Saudi Arabia,857,2,1,1,87.901,87.545,87.304,2025,McLaren
Saudi Arabia,847,3,1,1,88.282,87.599,87.407,2025,Mercedes
Saudi Arabia,844,4,1,1,88.55199999999999,87.866,87.67,2025,Ferrari
Saudi Arabia,863,5,1,1,88.128,87.798,87.866,2025,Mercedes
Saudi Arabia,832,6,1,1,88.354,88.054,88.164,2025,Williams
Saudi Arabia,1,7,1,1,88.372,88.102,88.201,2025,Ferrari
Saudi Arabia,852,8,1,1,88.226,87.99,88.20400000000001,2025,Red Bull Racing
Saudi Arabia,842,9,1,1,88.241,88.025,88.367,2025,Alpine
Saudi Arabia,846,10,1,1,87.805,87.481,,2025,McLaren
Saudi Arabia,848,11,1,0,88.279,88.10900000000001,,2025,Williams
