raceId,Team,kaggle_driver_id,position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,Track,rain,sunny
1052,Red Bull Racing,830,1,1,1,90.499,90.318,88.997,Bahrain,0,1
1052,Mercedes,1,2,1,1,90.617,90.085,89.385,Bahrain,0,1
1052,Mercedes,822,3,1,1,91.2,90.186,89.586,Bahrain,0,1
1052,Ferrari,844,4,1,1,90.691,90.01,89.678,Bahrain,0,1
1052,AlphaTauri,842,5,1,1,90.848,90.513,89.809,Bahrain,0,1
1052,McLaren,817,6,1,1,90.795,90.222,89.92699999999999,Bahrain,0,1
1052,McLaren,846,7,1,1,90.902,90.099,89.974,Bahrain,0,1
1052,Ferrari,832,8,1,1,91.653,90.009,90.215,Bahrain,0,1
1052,Alpine,4,9,1,1,90.863,90.595,90.249,Bahrain,0,1
1052,Aston Martin,840,10,1,1,91.261,90.624,90.601,Bahrain,0,1
1052,Red Bull Racing,815,11,1,0,91.165,90.659,,Bahrain,0,1
1052,Alfa Romeo,841,12,1,0,90.998,90.708,,Bahrain,0,1
1052,AlphaTauri,852,13,1,0,90.607,91.203,,Bahrain,0,1
1052,Alfa Romeo,8,14,1,0,91.547,91.238,,Bahrain,0,1
1052,Williams,847,15,1,0,91.316,93.43,,Bahrain,0,1
1052,Alpine,839,16,0,0,91.724,,,Bahrain,0,1
1052,Williams,849,17,0,0,91.936,,,Bahrain,0,1
1052,Aston Martin,20,18,0,0,92.056,,,Bahrain,0,1
1052,Haas,854,19,0,0,92.449,,,Bahrain,0,1
1052,Haas,853,20,0,0,93.273,,,Bahrain,0,1
1053,Mercedes,1,1,1,1,74.82300000000001,74.81700000000001,74.411,Emilia Romagna,0,1
1053,Red Bull Racing,815,2,1,1,75.395,74.716,74.446,Emilia Romagna,0,1
1053,Red Bull Racing,830,3,1,1,75.109,74.884,74.498,Emilia Romagna,0,1
1053,Ferrari,844,4,1,1,75.413,74.80799999999999,74.74,Emilia Romagna,0,1
1053,AlphaTauri,842,5,1,1,75.548,74.92699999999999,74.78999999999999,Emilia Romagna,0,1
1053,McLaren,817,6,1,1,75.669,75.033,74.826,Emilia Romagna,0,1
1053,McLaren,846,7,1,1,75.009,74.718,74.875,Emilia Romagna,0,1
1053,Mercedes,822,8,1,1,74.672,74.905,74.898,Emilia Romagna,0,1
1053,Alpine,839,9,1,1,75.385,75.117,75.21000000000001,Emilia Romagna,0,1
1053,Aston Martin,840,10,1,0,75.522,75.138,,Emilia Romagna,0,1
1053,Ferrari,832,11,1,0,75.406,75.199,,Emilia Romagna,0,1
1053,Williams,847,12,1,0,75.826,75.261,,Emilia Romagna,0,1
1053,Aston Martin,20,13,1,0,75.459,75.394,,Emilia Romagna,0,1
1053,Williams,849,14,1,0,75.653,75.593,,Emilia Romagna,0,1
1053,Alpine,4,15,1,0,75.832,75.593,,Emilia Romagna,0,1
1053,Alfa Romeo,8,16,0,0,75.974,,,Emilia Romagna,0,1
1053,Alfa Romeo,841,17,0,0,76.122,,,Emilia Romagna,0,1
1053,Haas,854,18,0,0,76.279,,,Emilia Romagna,0,1
1053,Haas,853,19,0,0,76.797,,,Emilia Romagna,0,1
1053,AlphaTauri,852,20,0,0,,,,Emilia Romagna,0,1
1054,Mercedes,822,1,1,1,78.72200000000001,78.458,78.348,Portugal,0,1
1054,Mercedes,1,2,1,1,78.857,77.968,78.355,Portugal,0,1
1054,Red Bull Racing,830,3,1,1,79.485,78.65,78.746,Portugal,0,1
1054,Red Bull Racing,815,4,1,1,79.337,78.845,78.89,Portugal,0,1
1054,Ferrari,832,5,1,1,79.309,78.813,79.039,Portugal,0,1
1054,Alpine,839,6,1,1,79.092,78.586,79.042,Portugal,0,1
1054,McLaren,846,7,1,1,78.794,78.481,79.116,Portugal,0,1
1054,Ferrari,844,8,1,1,79.373,78.769,79.306,Portugal,0,1
1054,AlphaTauri,842,9,1,1,79.464,79.05199999999999,79.475,Portugal,0,1
1054,Aston Martin,20,10,1,1,79.40299999999999,78.97,79.65899999999999,Portugal,0,1
1054,Williams,847,11,1,0,79.797,79.10900000000001,,Portugal,0,1
1054,Alfa Romeo,841,12,1,0,79.41,79.21600000000001,,Portugal,0,1
1054,Alpine,4,13,1,0,79.72800000000001,79.456,,Portugal,0,1
1054,AlphaTauri,852,14,1,0,79.684,79.463,,Portugal,0,1
1054,Alfa Romeo,8,15,1,0,79.748,79.812,,Portugal,0,1
1054,McLaren,817,16,0,0,79.839,,,Portugal,0,1
1054,Aston Martin,840,17,0,0,79.913,,,Portugal,0,1
1054,Williams,849,18,0,0,80.285,,,Portugal,0,1
1054,Haas,854,19,0,0,80.452,,,Portugal,0,1
1054,Haas,853,20,0,0,80.912,,,Portugal,0,1
1055,Mercedes,1,1,1,1,78.245,77.166,76.741,Spain,0,1
1055,Red Bull Racing,830,2,1,1,78.09,76.922,76.777,Spain,0,1
1055,Mercedes,822,3,1,1,78.005,77.142,76.873,Spain,0,1
1055,Ferrari,844,4,1,1,78.041,77.717,77.51,Spain,0,1
1055,Alpine,839,5,1,1,78.281,77.743,77.58,Spain,0,1
1055,Ferrari,832,6,1,1,78.205,77.656,77.62,Spain,0,1
1055,McLaren,817,7,1,1,78.264,77.719,77.622,Spain,0,1
1055,Red Bull Racing,815,8,1,1,78.203,77.669,77.701,Spain,0,1
1055,McLaren,846,9,1,1,77.821,77.696,78.01,Spain,0,1
1055,Alpine,4,10,1,1,78.281,77.96600000000001,78.14699999999999,Spain,0,1
1055,Aston Martin,840,11,1,0,78.241,77.974,,Spain,0,1
1055,AlphaTauri,842,12,1,0,78.19,77.982,,Spain,0,1
1055,Aston Martin,20,13,1,0,78.289,78.07900000000001,,Spain,0,1
1055,Alfa Romeo,841,14,1,0,78.549,78.356,,Spain,0,1
1055,Williams,847,15,1,0,78.445,79.154,,Spain,0,1
1055,AlphaTauri,852,16,0,0,78.556,,,Spain,0,1
1055,Alfa Romeo,8,17,0,0,78.917,,,Spain,0,1
1055,Haas,854,18,0,0,79.117,,,Spain,0,1
1055,Williams,849,19,0,0,79.219,,,Spain,0,1
1055,Haas,853,20,0,0,79.807,,,Spain,0,1
1056,Ferrari,844,1,1,1,71.113,70.597,70.346,Monaco,0,1
1056,Red Bull Racing,830,2,1,1,71.124,70.65,70.576,Monaco,0,1
1056,Mercedes,822,3,1,1,70.938,70.695,70.601,Monaco,0,1
1056,Ferrari,832,4,1,1,71.324,70.806,70.611,Monaco,0,1
1056,McLaren,846,5,1,1,71.321,71.031,70.62,Monaco,0,1
1056,AlphaTauri,842,6,1,1,71.56,71.179,70.9,Monaco,0,1
1056,Mercedes,1,7,1,1,71.622,71.116,71.095,Monaco,0,1
1056,Aston Martin,20,8,1,1,72.078,71.309,71.419,Monaco,0,1
1056,Red Bull Racing,815,9,1,1,71.644,71.019,71.57300000000001,Monaco,0,1
1056,Alfa Romeo,841,10,1,1,71.658,71.409,71.779,Monaco,0,1
1056,Alpine,839,11,1,0,71.74,71.486,,Monaco,0,1
1056,McLaren,817,12,1,0,71.747,71.598,,Monaco,0,1
1056,Aston Martin,840,13,1,0,71.979,71.6,,Monaco,0,1
1056,Alfa Romeo,8,14,1,0,71.899,71.642,,Monaco,0,1
1056,Williams,847,15,1,0,72.016,71.83,,Monaco,0,1
1056,AlphaTauri,852,16,0,0,72.096,,,Monaco,0,1
1056,Alpine,4,17,0,0,72.205,,,Monaco,0,1
1056,Williams,849,18,0,0,72.366,,,Monaco,0,1
1056,Haas,853,19,0,0,72.958,,,Monaco,0,1
1057,Ferrari,844,1,1,1,102.241,101.659,101.218,Azerbaijan,0,1
1057,Mercedes,1,2,1,1,101.545,101.634,101.45,Azerbaijan,0,1
1057,Red Bull Racing,830,3,1,1,101.76,101.625,101.563,Azerbaijan,0,1
1057,AlphaTauri,842,4,1,1,102.288,101.932,101.565,Azerbaijan,0,1
1057,Ferrari,832,5,1,1,102.121,101.74,101.576,Azerbaijan,0,1
1057,McLaren,846,6,1,1,102.167,101.813,101.747,Azerbaijan,0,1
1057,Red Bull Racing,815,7,1,1,101.968,101.63,101.917,Azerbaijan,0,1
1057,AlphaTauri,852,8,1,1,102.521,101.654,102.211,Azerbaijan,0,1
1057,Alpine,4,9,1,1,102.934,102.195,102.327,Azerbaijan,0,1
1057,Mercedes,822,10,1,1,102.701,102.106,102.659,Azerbaijan,0,1
1057,Aston Martin,20,11,1,0,102.46,102.224,,Azerbaijan,0,1
1057,Alpine,839,12,1,0,102.426,102.273,,Azerbaijan,0,1
1057,McLaren,817,13,1,0,102.304,102.558,,Azerbaijan,0,1
1057,Alfa Romeo,8,14,1,0,102.923,102.587,,Azerbaijan,0,1
1057,Williams,847,15,1,0,102.728,102.758,,Azerbaijan,0,1
1057,Williams,849,16,0,0,103.128,,,Azerbaijan,0,1
1057,Haas,854,17,0,0,104.158,,,Azerbaijan,0,1
1057,Haas,853,18,0,0,104.238,,,Azerbaijan,0,1
1057,Aston Martin,840,19,0,0,,,,Azerbaijan,0,1
1057,Alfa Romeo,841,20,0,0,,,,Azerbaijan,0,1
1059,Red Bull Racing,830,1,1,1,91.001,91.08,89.99,France,0,1
1059,Mercedes,1,2,1,1,91.237,90.788,90.248,France,0,1
1059,Mercedes,822,3,1,1,91.669,90.735,90.376,France,0,1
1059,Red Bull Racing,815,4,1,1,91.56,90.971,90.445,France,0,1
1059,Ferrari,832,5,1,1,92.079,91.146,90.84,France,0,1
1059,AlphaTauri,842,6,1,1,91.898,91.353,90.868,France,0,1
1059,Ferrari,844,7,1,1,92.209,91.567,90.987,France,0,1
1059,McLaren,846,8,1,1,91.733,91.542,91.252,France,0,1
1059,Alpine,4,9,1,1,92.158,91.549,91.34,France,0,1
1059,McLaren,817,10,1,1,92.181,91.615,91.382,France,0,1
1059,Alpine,839,11,1,0,92.139,91.736,,France,0,1
1059,Aston Martin,20,12,1,0,92.132,91.767,,France,0,1
1059,Alfa Romeo,841,13,1,0,92.722,91.813,,France,0,1
1059,Williams,847,14,1,0,93.06,92.065,,France,0,1
1059,Haas,854,15,0,0,92.942,,,France,0,1
1059,Williams,849,16,0,0,93.062,,,France,0,1
1059,Alfa Romeo,8,17,0,0,93.354,,,France,0,1
1059,Haas,853,18,0,0,93.554,,,France,0,1
1059,Aston Martin,840,19,0,0,,,,France,0,1
1059,AlphaTauri,852,20,0,0,,,,France,0,1
1058,Red Bull Racing,830,1,1,1,64.489,64.43299999999999,63.841,Styria,1,1
1058,Mercedes,822,2,1,1,64.537,64.443,64.035,Styria,1,1
1058,Mercedes,1,3,1,1,64.672,64.512,64.06700000000001,Styria,1,1
1058,McLaren,846,4,1,1,64.584,64.298,64.12,Styria,1,1
1058,Red Bull Racing,815,5,1,1,64.638,64.197,64.168,Styria,1,1
1058,AlphaTauri,842,6,1,1,64.765,64.429,64.236,Styria,1,1
1058,Ferrari,844,7,1,1,64.745,64.646,64.472,Styria,1,1
1058,AlphaTauri,852,8,1,1,64.608,64.631,64.514,Styria,1,1
1058,Alpine,4,9,1,1,64.971,64.582,64.574,Styria,1,1
1058,Aston Martin,840,10,1,1,64.821,64.663,64.708,Styria,1,1
1058,Williams,847,11,1,0,65.033,64.671,,Styria,1,1
1058,Ferrari,832,12,1,0,64.859,64.8,,Styria,1,1
1058,McLaren,817,13,1,0,65.142,64.80799999999999,,Styria,1,1
1058,Aston Martin,20,14,1,0,65.051,64.875,,Styria,1,1
1058,Alfa Romeo,841,15,1,0,65.092,64.913,,Styria,1,1
1058,Williams,849,16,0,0,65.175,,,Styria,1,1
1058,Alpine,839,17,0,0,65.217,,,Styria,1,1
1058,Alfa Romeo,8,18,0,0,65.429,,,Styria,1,1
1058,Haas,854,19,0,0,66.041,,,Styria,1,1
1058,Haas,853,20,0,0,66.19200000000001,,,Styria,1,1
1060,Red Bull Racing,830,1,1,1,64.249,63.927,63.72,Austria,0,1
1060,McLaren,846,2,1,1,64.345,64.415,63.768,Austria,0,1
1060,Red Bull Racing,815,3,1,1,64.833,64.483,63.99,Austria,0,1
1060,Mercedes,1,4,1,1,64.506,64.258,64.014,Austria,0,1
1060,Mercedes,822,5,1,1,64.563,64.376,64.049,Austria,0,1
1060,AlphaTauri,842,6,1,1,64.841,64.412,64.107,Austria,0,1
1060,AlphaTauri,852,7,1,1,64.967,64.518,64.273,Austria,0,1
1060,Aston Martin,20,8,1,1,64.846,64.493,64.57,Austria,0,1
1060,Williams,847,9,1,1,64.907,64.553,64.591,Austria,0,1
1060,Aston Martin,840,10,1,1,64.92699999999999,64.547,64.618,Austria,0,1
1060,Ferrari,832,11,1,0,64.596,64.559,,Austria,0,1
1060,Ferrari,844,12,1,0,64.906,64.6,,Austria,0,1
1060,McLaren,817,13,1,0,64.977,64.719,,Austria,0,1
1060,Alpine,4,14,1,0,64.472,64.856,,Austria,0,1
1060,Alfa Romeo,841,15,1,0,64.782,65.083,,Austria,0,1
1060,Alfa Romeo,8,16,0,0,65.009,,,Austria,0,1
1060,Alpine,839,17,0,0,65.051,,,Austria,0,1
1060,Williams,849,18,0,0,65.195,,,Austria,0,1
1060,Haas,854,19,0,0,65.42699999999999,,,Austria,0,1
1060,Haas,853,20,0,0,65.951,,,Austria,0,1
1061,Mercedes,1,1,1,1,86.786,86.023,86.134,Great Britain,0,1
1061,Red Bull Racing,830,2,1,1,86.751,86.315,86.209,Great Britain,0,1
1061,Mercedes,822,3,1,1,87.487,86.764,86.328,Great Britain,0,1
1061,Ferrari,844,4,1,1,87.051,86.919,86.828,Great Britain,0,1
1061,Red Bull Racing,815,5,1,1,87.121,87.07300000000001,86.844,Great Britain,0,1
