Unnamed: 0,raceId,Track,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,year,Team
0,1074,Bahrain,844,1,1,1,91.471,90.932,90.558,2022,Ferrari
1,1074,Bahrain,830,2,1,1,91.785,90.757,90.681,2022,Red Bull Racing
2,1074,Bahrain,832,3,1,1,91.567,90.787,90.687,2022,Ferrari
3,1074,Bahrain,815,4,1,1,92.311,91.008,90.921,2022,Red Bull Racing
4,1074,Bahrain,1,5,1,1,92.285,91.048,91.238,2022,Mercedes
5,1074,Bahrain,822,6,1,1,91.919,91.717,91.56,2022,Alfa Romeo
6,1074,Bahrain,825,7,1,1,91.955,91.461,91.808,2022,Haas F1 Team
7,1074,Bahrain,4,8,1,1,92.346,91.621,92.195,2022,Alpine
8,1074,Bahrain,847,9,1,1,92.269,91.252,92.216,2022,Mercedes
9,1074,Bahrain,842,10,1,1,92.096,91.635,92.338,2022,AlphaTauri
10,1074,Bahrain,839,11,1,0,92.041,91.782,,2022,Alpine
11,1074,Bahrain,854,12,1,0,92.38,91.998,,2022,Haas F1 Team
12,1074,Bahrain,846,13,1,0,92.239,92.008,,2022,McLaren
13,1074,Bahrain,848,14,1,0,92.726,92.664,,2022,Williams
14,1074,Bahrain,855,15,1,0,92.493,93.543,,2022,Alfa Romeo
15,1074,Bahrain,852,16,0,0,92.75,,,2022,AlphaTauri
16,1074,Bahrain,807,17,0,0,92.777,,,2022,Aston Martin
17,1074,Bahrain,817,18,0,0,92.945,,,2022,McLaren
18,1074,Bahrain,840,19,0,0,93.032,,,2022,Aston Martin
19,1074,Bahrain,849,20,0,0,93.634,,,2022,Williams
20,1075,Saudi Arabia,815,1,1,1,89.705,88.924,88.2,2022,Red Bull Racing
21,1075,Saudi Arabia,844,2,1,1,89.039,88.78,88.225,2022,Ferrari
22,1075,Saudi Arabia,832,3,1,1,88.855,88.68860000000001,88.402,2022,Ferrari
23,1075,Saudi Arabia,830,4,1,1,88.928,88.945,88.461,2022,Red Bull Racing
24,1075,Saudi Arabia,839,5,1,1,90.093,89.584,89.068,2022,Alpine
25,1075,Saudi Arabia,847,6,1,1,89.68,89.618,89.104,2022,Mercedes
26,1075,Saudi Arabia,4,7,1,1,89.97800000000001,89.295,89.14699999999999,2022,Alpine
27,1075,Saudi Arabia,822,8,1,1,89.68299999999999,89.404,89.18299999999999,2022,Alfa Romeo
28,1075,Saudi Arabia,842,9,1,1,89.89099999999999,89.418,89.254,2022,AlphaTauri
29,1075,Saudi Arabia,825,10,1,1,89.831,89.54599999999999,89.588,2022,Haas F1 Team
30,1075,Saudi Arabia,846,11,1,0,89.957,89.651,,2022,McLaren
31,1075,Saudi Arabia,817,12,1,0,90.009,89.773,,2022,McLaren
32,1075,Saudi Arabia,855,13,1,0,89.97800000000001,89.819,,2022,Alfa Romeo
33,1075,Saudi Arabia,854,14,1,0,90.167,89.92,,2022,Haas F1 Team
34,1075,Saudi Arabia,840,15,1,0,90.256,91.009,,2022,Aston Martin
35,1075,Saudi Arabia,1,16,0,0,90.343,,,2022,Mercedes
36,1075,Saudi Arabia,848,17,0,0,90.492,,,2022,Williams
37,1075,Saudi Arabia,807,18,0,0,90.543,,,2022,Aston Martin
38,1075,Saudi Arabia,849,19,0,0,91.817,,,2022,Williams
39,1075,Saudi Arabia,852,NC,0,0,,,,2022,AlphaTauri
40,1076,Australia,844,1,1,1,78.881,78.606,77.868,2022,Ferrari
41,1076,Australia,830,2,1,1,5260.0,78.611,78.154,2022,Red Bull Racing
42,1076,Australia,815,3,1,1,78.834,78.34,78.24,2022,Red Bull Racing
43,1076,Australia,846,4,1,1,79.28,79.066,78.703,2022,McLaren
44,1076,Australia,1,5,1,1,79.401,79.106,78.825,2022,Mercedes
45,1076,Australia,847,6,1,1,79.405,79.076,78.93299999999999,2022,Mercedes
46,1076,Australia,817,7,1,1,79.66499999999999,79.13,79.032,2022,McLaren
47,1076,Australia,839,8,1,1,79.605,79.136,79.061,2022,Alpine
48,1076,Australia,832,9,1,1,78.983,78.469,79.408,2022,Ferrari
49,1076,Australia,4,10,1,1,79.19200000000001,78.815,,2022,Alpine
50,1076,Australia,842,11,1,0,79.58,79.226,,2022,AlphaTauri
51,1076,Australia,822,12,1,0,79.251,79.41,,2022,Alfa Romeo
52,1076,Australia,852,13,1,0,79.742,79.424,,2022,AlphaTauri
53,1076,Australia,855,14,1,0,79.91,80.155,,2022,Alfa Romeo
54,1076,Australia,854,15,1,0,80.104,80.465,,2022,Haas F1 Team
55,1076,Australia,848,NC,0,0,80.135,,,2022,Williams
56,1076,Australia,825,16,0,0,80.254,,,2022,Haas F1 Team
57,1076,Australia,20,17,0,0,81.149,,,2022,Aston Martin
58,1076,Australia,849,18,0,0,81.372,,,2022,Williams
59,1076,Australia,840,NC,0,0,,,,2022,Aston Martin
60,1077,Emilia Romagna,830,1,1,1,79.295,78.793,87.999,2022,Red Bull Racing
61,1077,Emilia Romagna,844,2,1,1,78.79599999999999,79.584,88.77799999999999,2022,Ferrari
62,1077,Emilia Romagna,846,3,1,1,80.168,79.294,89.131,2022,McLaren
63,1077,Emilia Romagna,825,4,1,1,80.14699999999999,79.902,89.164,2022,Haas F1 Team
64,1077,Emilia Romagna,4,5,1,1,80.19800000000001,79.595,89.202,2022,Alpine
65,1077,Emilia Romagna,817,6,1,1,79.98,80.031,89.742,2022,McLaren
