raceId,Track,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,year,Team,rain,sunny
1101,Azerbaijan,844,1,1,1,102.82,102.5,101.697,2023,Ferrari,0,1
1101,Azerbaijan,815,2,1,1,103.858,102.925,101.844,2023,Red Bull Racing,0,1
1101,Azerbaijan,830,3,1,1,103.288,102.217,101.987,2023,Red Bull Racing,0,1
1101,Azerbaijan,847,4,1,1,103.763,103.112,102.252,2023,Mercedes,0,1
1101,Azerbaijan,832,5,1,1,103.622,102.909,102.287,2023,Ferrari,0,1
1101,Azerbaijan,1,6,1,1,103.561,103.061,102.502,2023,Mercedes,0,1
1101,Azerbaijan,848,7,1,1,103.987,103.376,102.846,2023,Williams,0,1
1101,Azerbaijan,4,8,1,1,103.789,102.976,103.01,2023,Aston Martin,0,1
1101,Azerbaijan,840,9,1,1,103.879,103.375,103.064,2023,Aston Martin,0,1
1101,Azerbaijan,846,10,1,0,103.938,103.395,,2023,McLaren,0,1
1101,Azerbaijan,857,11,1,0,104.179,103.427,,2023,McLaren,0,1
1101,Azerbaijan,807,12,1,0,104.843,103.806,,2023,Haas F1 Team,0,1
1101,Azerbaijan,839,13,1,0,104.433,104.088,,2023,Alpine,0,1
1101,Azerbaijan,825,14,1,0,104.101,104.332,,2023,Haas F1 Team,0,1
1101,Azerbaijan,858,15,0,0,104.042,,,2023,Williams,0,1
1101,Azerbaijan,855,16,0,0,105.177,,,2023,Alfa Romeo,0,1
1101,Azerbaijan,822,17,0,0,105.352,,,2023,Alfa Romeo,0,1
1101,Azerbaijan,852,18,0,0,105.436,,,2023,AlphaTauri,0,1
1101,Azerbaijan,842,19,0,0,106.951,,,2023,Alpine,0,1
1101,Azerbaijan,856,20,0,0,108.18,,,2023,AlphaTauri,0,1
1107,Austria,830,1,1,1,66.236,65.371,64.44,2023,Red Bull Racing,0,1
1107,Austria,815,2,1,1,66.924,65.836,64.93299999999999,2023,Red Bull Racing,0,1
1107,Austria,846,3,1,1,66.723,65.699,65.01,2023,McLaren,0,1
1107,Austria,807,4,1,1,66.548,66.091,65.084,2023,Haas F1 Team,0,1
1107,Austria,832,5,1,1,66.187,65.434,65.136,2023,Ferrari,0,1
1107,Austria,844,6,1,1,67.061,65.673,65.245,2023,Ferrari,0,1
1107,Austria,4,7,1,1,66.611,65.759,65.258,2023,Aston Martin,0,1
1107,Austria,840,8,1,1,66.569,65.914,65.347,2023,Aston Martin,0,1
1107,Austria,839,9,1,1,66.84,65.604,65.366,2023,Alpine,0,1
1107,Austria,825,10,1,1,66.629,65.73,65.912,2023,Haas F1 Team,0,1
1107,Austria,848,11,1,0,66.892,66.152,,2023,Williams,0,1
1107,Austria,842,12,1,0,66.873,66.36,,2023,Alpine,0,1
1107,Austria,852,13,1,0,66.896,66.369,,2023,AlphaTauri,0,1
1107,Austria,856,14,1,0,66.704,66.593,,2023,AlphaTauri,0,1
1107,Austria,847,15,0,0,66.653,,,2023,Mercedes,0,1
1107,Austria,855,16,0,0,67.062,,,2023,Alfa Romeo,0,1
1107,Austria,857,17,0,0,67.106,,,2023,McLaren,0,1
1107,Austria,1,18,0,0,67.282,,,2023,Mercedes,0,1
1107,Austria,822,19,0,0,67.291,,,2023,Alfa Romeo,0,1
1107,Austria,858,20,0,0,67.426,,,2023,Williams,0,1
1110,Belgium,830,1,1,1,118.135,115.2,109.056,2023,Red Bull Racing,0,1
1110,Belgium,857,2,1,1,120.056,116.392,109.067,2023,McLaren,0,1
1110,Belgium,832,3,1,1,119.414,116.557,109.081,2023,Ferrari,0,1
1110,Belgium,844,4,1,1,119.575,116.265,109.251,2023,Ferrari,0,1
1110,Belgium,846,5,1,1,120.436,116.828,109.389,2023,McLaren,0,1
1110,Belgium,842,6,1,1,120.032,116.137,109.7,2023,Alpine,0,1
1110,Belgium,1,7,1,1,118.939,115.823,109.9,2023,Mercedes,0,1
1110,Belgium,815,8,1,1,119.362,115.878,109.961,2023,Red Bull Racing,0,1
1110,Belgium,839,9,1,1,119.884,117.051,110.494,2023,Alpine,0,1
1110,Belgium,847,10,1,1,120.475,117.393,115.742,2023,Mercedes,0,1
1110,Belgium,817,11,1,0,120.177,117.687,,2023,AlphaTauri,0,1
1110,Belgium,848,12,1,0,119.198,,,2023,Williams,0,1
1110,Belgium,858,13,1,0,120.031,,,2023,Williams,0,1
1110,Belgium,840,14,1,0,120.46,,,2023,Aston Martin,0,1
1110,Belgium,4,15,1,0,119.038,,,2023,Aston Martin,0,1
1110,Belgium,852,16,0,0,120.568,,,2023,AlphaTauri,0,1
1110,Belgium,822,17,0,0,120.951,,,2023,Alfa Romeo,0,1
1110,Belgium,825,18,0,0,121.079,,,2023,Haas F1 Team,0,1
1110,Belgium,855,19,0,0,121.43,,,2023,Alfa Romeo,0,1
1110,Belgium,807,NC,0,0,,,,2023,Haas F1 Team,0,1
1115,Qatar,857,1,1,1,85.979,85.496,84.45400000000001,2023,McLaren,0,1
1115,Qatar,846,2,1,1,85.672,84.947,84.536,2023,McLaren,0,1
1115,Qatar,830,3,1,1,85.51,85.199,84.646,2023,Red Bull Racing,0,1
1115,Qatar,847,4,1,1,85.413,85.027,84.84100000000001,2023,Mercedes,0,1
1115,Qatar,832,5,1,1,85.872,85.43299999999999,85.155,2023,Ferrari,0,1
1115,Qatar,844,6,1,1,86.26599999999999,85.367,85.247,2023,Ferrari,0,1
1115,Qatar,807,7,1,1,86.45,85.499,85.32,2023,Haas F1 Team,0,1
1115,Qatar,815,8,1,1,86.123,85.143,85.382,2023,Red Bull Racing,0,1
1115,Qatar,4,9,1,1,85.936,85.344,,2023,Aston Martin,0,1
1115,Qatar,839,10,1,1,86.072,85.51,,2023,Alpine,0,1
1115,Qatar,842,11,1,0,85.82900000000001,85.686,,2023,Alpine,0,1
1115,Qatar,1,12,1,0,86.424,85.962,,2023,Mercedes,0,1
1115,Qatar,822,13,1,0,86.449,86.236,,2023,Alfa Romeo,0,1
