Unnamed: 0,Track,kaggle_driver_id,Position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec,year,Team
0,China,1,1,1,1,91.212,91.484,90.849,2025,Ferrari
1,China,830,2,1,1,91.916,91.521,90.867,2025,Red Bull Racing
2,China,857,3,1,1,91.723,91.362,90.929,2025,McLaren
3,China,844,4,1,1,91.518,91.561,91.057,2025,Ferrari
4,China,847,5,1,1,91.952,91.346,91.169,2025,Mercedes
5,China,846,6,1,1,91.396,91.174,91.393,2025,McLaren
6,China,863,7,1,1,91.999,91.475,91.738,2025,Mercedes
7,China,852,8,1,1,92.316,91.794,91.773,2025,Red Bull Racing
8,China,848,9,1,1,92.462,91.539,91.852,2025,Williams
9,China,840,10,1,1,92.327,91.742,91.982,2025,Aston Martin
10,China,4,11,1,0,92.121,91.815,,2025,Aston Martin
11,China,860,12,1,0,92.269,91.978,,2025,Haas
12,China,832,13,1,0,92.457,92.325,,2025,Williams
13,China,865,14,1,0,92.539,92.564,,2025,Kick Sauber
14,China,864,15,1,0,92.171,,,2025,Racing Bulls
15,China,862,16,0,0,92.575,,,2025,Alpine
16,China,842,17,0,0,92.64,,,2025,Alpine
17,China,839,18,0,0,92.651,,,2025,Haas
18,China,807,19,0,0,92.675,,,2025,Kick Sauber
19,China,859,20,0,0,92.779,,,2025,Racing Bulls
20,Miami,863,1,1,1,87.858,87.384,86.482,2025,Mercedes
21,Miami,857,2,1,1,87.951,87.354,86.527,2025,McLaren
22,Miami,846,3,1,1,87.89,87.10900000000001,86.582,2025,McLaren
23,Miami,830,4,1,1,87.953,87.245,86.737,2025,Red Bull Racing
24,Miami,847,5,1,1,87.688,87.666,86.791,2025,Mercedes
25,Miami,844,6,1,1,88.325,87.467,86.80799999999999,2025,Ferrari
26,Miami,1,7,1,1,88.231,87.54599999999999,87.03,2025,Ferrari
27,Miami,848,8,1,1,87.85900000000001,87.697,87.193,2025,Williams
28,Miami,864,9,1,1,88.394,87.773,87.543,2025,Racing Bulls
29,Miami,4,10,1,1,88.455,87.76599999999999,87.78999999999999,2025,Aston Martin
30,Miami,807,11,1,0,88.542,87.85,,2025,Kick Sauber
31,Miami,839,12,1,0,88.303,88.07,,2025,Haas
32,Miami,842,13,1,0,88.345,88.167,,2025,Alpine
33,Miami,859,14,1,0,88.914,88.375,,2025,Racing Bulls
34,Miami,832,15,1,0,87.899,,,2025,Williams
35,Miami,840,16,0,0,89.02799999999999,,,2025,Aston Martin
36,Miami,862,17,0,0,89.17099999999999,,,2025,Alpine
37,Miami,852,18,0,0,89.246,,,2025,Red Bull Racing
38,Miami,865,19,0,0,89.312,,,2025,Kick Sauber
39,Miami,860,20,0,0,89.825,,,2025,Haas
40,Belgium,857,1,1,1,101.769,102.128,100.51,2025,McLaren
41,Belgium,830,2,1,1,102.043,101.583,100.987,2025,Red Bull Racing
42,Belgium,846,3,1,1,102.068,101.412,101.128,2025,McLaren
43,Belgium,844,4,1,1,102.763,101.786,101.278,2025,Ferrari
44,Belgium,839,5,1,1,102.822,101.801,101.565,2025,Haas
45,Belgium,832,6,1,1,102.776,102.051,101.761,2025,Williams
46,Belgium,860,7,1,1,103.024,102.019,101.857,2025,Haas
47,Belgium,842,8,1,1,103.171,101.949,101.959,2025,Alpine
48,Belgium,864,9,1,1,102.711,102.088,101.971,2025,Racing Bulls
49,Belgium,865,10,1,1,102.806,101.901,102.176,2025,Kick Sauber
50,Belgium,859,11,1,0,102.897,102.169,,2025,Racing Bulls
51,Belgium,852,12,1,0,102.912,102.184,,2025,Red Bull Racing
52,Belgium,847,13,1,0,102.65,102.33,,2025,Mercedes
53,Belgium,4,14,1,0,102.427,102.453,,2025,Aston Martin
54,Belgium,840,15,1,0,102.736,102.832,,2025,Aston Martin
55,Belgium,848,16,0,0,103.212,,,2025,Williams
56,Belgium,807,17,0,0,103.217,,,2025,Kick Sauber
57,Belgium,1,18,0,0,103.217,,,2025,Ferrari
58,Belgium,861,19,0,0,103.587,,,2025,Alpine
59,Belgium,863,20,0,0,105.394,,,2025,Mercedes
60,United States,830,1,1,1,93.363,93.163,92.143,2025,Red Bull Racing
61,United States,846,2,1,1,93.224,93.003,92.214,2025,McLaren
62,United States,857,3,1,1,93.889,93.371,92.523,2025,McLaren
63,United States,807,4,1,1,94.236,93.577,92.645,2025,Kick Sauber
64,United States,847,5,1,1,94.653,93.462,92.888,2025,Mercedes
65,United States,4,6,1,1,94.737,93.951,92.91,2025,Aston Martin
66,United States,832,7,1,1,94.239,93.652,92.911,2025,Williams
67,United States,1,8,1,1,94.226,94.012,93.035,2025,Ferrari
68,United States,848,9,1,1,94.472,93.831,93.099,2025,Williams
69,United States,844,10,1,1,94.913,93.918,93.104,2025,Ferrari
70,United States,863,11,1,0,94.414,94.018,,2025,Mercedes
71,United States,864,12,1,0,94.243,94.241,,2025,Racing Bulls
72,United States,842,13,1,0,95.144,94.258,,2025,Alpine
73,United States,840,14,1,0,94.988,94.394,,2025,Aston Martin
74,United States,859,15,1,0,94.603,,,2025,Racing Bulls
75,United States,860,16,0,0,95.159,,,2025,Haas
76,United States,861,17,0,0,95.246,,,2025,Alpine
77,United States,852,18,0,0,95.259,,,2025,Red Bull Racing
78,United States,839,19,0,0,96.003,,,2025,Haas
79,United States,865,NC,0,0,,,,2025,Kick Sauber
80,Brazil,846,1,1,1,69.627,69.373,69.243,2025,McLaren
81,Brazil,863,2,1,1,70.381,69.504,69.34,2025,Mercedes
82,Brazil,857,3,1,1,70.017,69.416,69.428,2025,McLaren
83,Brazil,847,4,1,1,70.048,69.384,69.495,2025,Mercedes
84,Brazil,4,5,1,1,70.011,69.33,69.496,2025,Aston Martin
85,Brazil,830,6,1,1,69.975,69.707,69.58,2025,Red Bull Racing
86,Brazil,840,7,1,1,70.326,69.647,69.67099999999999,2025,Aston Martin
87,Brazil,844,8,1,1,70.324,69.732,69.725,2025,Ferrari
88,Brazil,864,9,1,1,70.095,69.608,69.775,2025,Racing Bulls
89,Brazil,807,10,1,1,70.333,69.735,69.935,2025,Kick Sauber
90,Brazil,1,11,1,0,70.224,69.811,,2025,Ferrari
91,Brazil,848,12,1,0,70.275,69.813,,2025,Williams
92,Brazil,842,13,1,0,70.097,69.852,,2025,Alpine
93,Brazil,865,14,1,0,70.217,69.923,,2025,Kick Sauber
94,Brazil,860,15,1,0,70.066,69.946,,2025,Haas
95,Brazil,861,16,0,0,70.441,,,2025,Alpine
96,Brazil,859,17,0,0,70.666,,,2025,Racing Bulls
