Position,No,Driver,Starting Grid,Laps,Time/Retired,Points,kaggle_driver_id,raceId
1,33,Max Verstappen,2,17,25:38.426,3,830,1061
2,44,Lewis Hamilton,1,17,+1.430,2,1,1061
3,77,Valtteri Bottas,3,17,+7.502,1,822,1061
4,16,Charles Leclerc,4,17,+11.278,0,844,1061
5,4,Lando Norris,6,17,+24.111,0,846,1061
6,3,Daniel Ricciardo,7,17,+30.959,0,817,1061
7,14,Fernando Alonso,11,17,+43.527,0,4,1061
8,5,Sebastian Vettel,10,17,+44.439,0,20,1061
9,63,George Russell,8,17,+46.652,0,847,1061
10,31,Esteban Ocon,13,17,+47.395,0,839,1061
11,55,Carlos Sainz,9,17,+47.798,0,832,1061
12,10,Pierre Gasly,12,17,+48.763,0,842,1061
13,7,Kimi Räikkönen,17,17,+50.677,0,8,1061
14,18,Lance Stroll,15,17,+52.179,0,840,1061
15,99,Antonio Giovinazzi,14,17,+53.225,0,841,1061
16,22,Yuki Tsunoda,16,17,+53.567,0,852,1061
17,6,Nicholas Latifi,18,17,+55.162,0,849,1061
18,47,Mick Schumacher,19,17,+1:08.213,0,854,1061
19,9,Nikita Mazepin,20,17,+1:17.648,0,853,1061
20,11,Sergio Pérez,5,16,\N,0,815,1061
1,77,Valtteri Bottas,1,18,27:54.078,3,822,1065
2,33,Max Verstappen,3,18,+2.325,2,830,1065
3,3,Daniel Ricciardo,5,18,+14.534,1,817,1065
4,4,Lando Norris,4,18,+18.835,0,846,1065
5,44,Lewis Hamilton,2,18,+20.011,0,1,1065
6,16,Charles Leclerc,8,18,+23.442,0,844,1065
7,55,Carlos Sainz,7,18,+27.952,0,832,1065
8,99,Antonio Giovinazzi,10,18,+31.089,0,841,1065
9,11,Sergio Pérez,9,18,+31.680,0,815,1065
10,18,Lance Stroll,12,18,+38.671,0,840,1065
11,14,Fernando Alonso,13,18,+39.795,0,4,1065
12,5,Sebastian Vettel,11,18,+41.177,0,20,1065
13,31,Esteban Ocon,14,18,+43.373,0,839,1065
14,6,Nicholas Latifi,16,18,+45.977,0,849,1065
15,63,George Russell,15,18,+46.821,0,847,1065
16,22,Yuki Tsunoda,17,18,+49.977,0,852,1065
17,9,Nikita Mazepin,20,18,+1:02.599,0,853,1065
18,88,Robert Kubica,19,18,+1:05.096,0,9,1065
19,47,Mick Schumacher,18,18,+1:06.154,0,854,1065
20,10,Pierre Gasly,6,0,\N,0,842,1065
1,77,Valtteri Bottas,2,24,29:09.559,3,822,1071
2,33,Max Verstappen,1,24,+1.170,2,830,1071
3,55,Carlos Sainz,5,24,+18.723,1,832,1071
4,11,Sergio Pérez,3,24,+19.787,0,815,1071
5,44,Lewis Hamilton,20,24,+20.872,0,1,1071
6,4,Lando Norris,7,24,+22.558,0,846,1071
7,16,Charles Leclerc,6,24,+25.056,0,844,1071
8,10,Pierre Gasly,4,24,+34.158,0,842,1071
9,31,Esteban Ocon,10,24,+34.632,0,839,1071
10,5,Sebastian Vettel,11,24,+34.867,0,20,1071
11,3,Daniel Ricciardo,8,24,+35.869,0,817,1071
12,14,Fernando Alonso,9,24,+36.578,0,4,1071
13,99,Antonio Giovinazzi,14,24,+41.880,0,841,1071
14,18,Lance Stroll,15,24,+44.037,0,840,1071
15,22,Yuki Tsunoda,12,24,+46.150,0,852,1071
16,6,Nicholas Latifi,16,24,+46.760,0,849,1071
17,63,George Russell,17,24,+47.739,0,847,1071
18,7,Kimi Räikkönen,13,24,+50.014,0,8,1071
19,47,Mick Schumacher,18,24,+1:01.680,0,854,1071
20,9,Nikita Mazepin,19,24,+1:07.474,0,853,1071
