Track,Position,Team,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
China,1,Red Bull Racing Honda RBPT,4,830,1077,1.0,0.0,0.0,0.0
China,2,Mercedes,2,1,1077,1.0,0.0,0.0,13.043
China,3,Red Bull Racing Honda RBPT,6,815,1077,1.0,0.0,0.0,15.258
China,4,Ferrari,7,844,1077,1.0,0.0,0.0,17.486
China,5,Ferrari,5,832,1077,1.0,0.0,0.0,20.696
China,6,McLaren Mercedes,1,846,1077,1.0,0.0,0.0,22.088
China,7,McLaren Mercedes,8,857,1077,1.0,0.0,0.0,24.713
China,8,Mercedes,11,847,1077,1.0,0.0,0.0,25.696
China,9,Kick Sauber Ferrari,10,855,1077,1.0,0.0,0.0,31.951
China,10,Haas Ferrari,12,825,1077,1.0,0.0,0.0,37.398
China,11,RB Honda RBPT,14,817,1077,1.0,0.0,0.0,37.84
China,12,Kick Sauber Ferrari,9,822,1077,1.0,0.0,0.0,38.295
China,13,Alpine Renault,17,839,1077,1.0,0.0,0.0,39.841
China,14,Aston Martin Aramco Mercedes,15,840,1077,1.0,0.0,0.0,40.299
China,15,Alpine Renault,16,842,1077,1.0,0.0,0.0,40.838
China,16,RB Honda RBPT,19,852,1077,1.0,0.0,0.0,41.87
China,17,Williams Mercedes,18,848,1077,1.0,0.0,0.0,42.998
China,18,Williams Mercedes,20,858,1077,1.0,0.0,0.0,46.352
China,19,Haas Ferrari,13,807,1077,1.0,0.0,0.0,49.63
China,20,Aston Martin Aramco Mercedes,3,4,1077,0.0,1.0,,
Miami,1,Red Bull Racing Honda RBPT,1,830,1077,1.0,0.0,0.0,0.0
Miami,2,Ferrari,2,844,1077,1.0,0.0,0.0,3.371
Miami,3,Red Bull Racing Honda RBPT,3,815,1077,1.0,0.0,0.0,5.095
Miami,4,RB Honda RBPT,4,817,1077,1.0,0.0,0.0,14.971
Miami,5,Ferrari,5,832,1077,1.0,0.0,0.0,15.222
Miami,6,McLaren Mercedes,6,857,1077,1.0,0.0,0.0,15.75
Miami,7,Haas Ferrari,10,807,1077,1.0,0.0,0.0,22.054
Miami,8,RB Honda RBPT,15,852,1077,1.0,0.0,0.0,29.816
Miami,9,Alpine Renault,16,842,1077,1.0,0.0,0.0,31.88
Miami,10,Williams Mercedes,18,858,1077,1.0,0.0,0.0,34.355
Miami,11,Kick Sauber Ferrari,17,855,1077,1.0,0.0,0.0,35.078
Miami,12,Mercedes,11,847,1077,1.0,0.0,0.0,35.755
Miami,13,Williams Mercedes,20,848,1077,1.0,0.0,0.0,36.086
Miami,14,Kick Sauber Ferrari,19,822,1077,1.0,0.0,0.0,36.892
Miami,15,Alpine Renault,13,839,1077,1.0,0.0,0.0,37.74
Miami,16,Mercedes,12,1,1077,1.0,0.0,0.0,49.347
Miami,17,Aston Martin Aramco Mercedes,8,4,1077,1.0,0.0,0.0,59.409
Miami,18,Haas Ferrari,14,825,1077,1.0,0.0,0.0,66.303
Miami,NC,Aston Martin Aramco Mercedes,7,840,1077,0.0,1.0,,
Miami,NC,McLaren Mercedes,9,846,1077,0.0,1.0,,
Austria,1,Red Bull Racing Honda RBPT,1,830,1077,1.0,0.0,0.0,0.0
Austria,2,McLaren Mercedes,3,857,1077,1.0,0.0,0.0,4.616
Austria,3,McLaren Mercedes,2,846,1077,1.0,0.0,0.0,5.348
Austria,4,Mercedes,4,847,1077,1.0,0.0,0.0,8.354
Austria,5,Ferrari,5,832,1077,1.0,0.0,0.0,9.989
Austria,6,Mercedes,6,1,1077,1.0,0.0,0.0,11.207
Austria,7,Ferrari,10,844,1077,1.0,0.0,0.0,13.424
Austria,8,Red Bull Racing Honda RBPT,7,815,1077,1.0,0.0,0.0,17.409
Austria,9,Haas Ferrari,11,825,1077,1.0,0.0,0.0,24.067
Austria,10,Aston Martin Aramco Mercedes,12,840,1077,1.0,0.0,0.0,30.175
Austria,11,Alpine Renault,8,839,1077,1.0,0.0,0.0,30.839
Austria,12,Alpine Renault,9,842,1077,1.0,0.0,0.0,31.308
Austria,13,RB Honda RBPT,14,852,1077,1.0,0.0,0.0,35.452
Austria,14,RB Honda RBPT,16,817,1077,1.0,0.0,0.0,39.397
Austria,15,Aston Martin Aramco Mercedes,13,4,1077,1.0,0.0,0.0,43.155
Austria,16,Williams Mercedes,15,858,1077,1.0,0.0,0.0,44.076
Austria,17,Williams Mercedes,20,848,1077,1.0,0.0,0.0,44.673
Austria,18,Kick Sauber Ferrari,18,822,1077,1.0,0.0,0.0,46.511
Austria,19,Haas Ferrari,17,807,1077,1.0,0.0,0.0,48.423
Austria,20,Kick Sauber Ferrari,19,855,1077,1.0,0.0,0.0,53.143
United States,1,Red Bull Racing Honda RBPT,1,830,1077,1.0,0.0,0.0,0.0
United States,2,Ferrari,5,832,1077,1.0,0.0,0.0,3.882
United States,3,McLaren Mercedes,4,846,1077,1.0,0.0,0.0,6.24
United States,4,Ferrari,3,844,1077,1.0,0.0,0.0,6.956
United States,5,Mercedes,2,847,1077,1.0,0.0,0.0,15.766
United States,6,Mercedes,7,1,1077,1.0,0.0,0.0,18.724
United States,7,Haas Ferrari,8,825,1077,1.0,0.0,0.0,25.161
United States,8,Haas Ferrari,6,807,1077,1.0,0.0,0.0,26.588
United States,9,Red Bull Racing Honda RBPT,11,815,1077,1.0,0.0,0.0,29.95
United States,10,McLaren Mercedes,16,857,1077,1.0,0.0,0.0,37.059
United States,11,RB Honda RBPT,9,852,1077,1.0,0.0,0.0,38.363
United States,12,Williams Mercedes,10,861,1077,1.0,0.0,0.0,39.46
United States,13,Aston Martin Aramco Mercedes,13,840,1077,1.0,0.0,0.0,41.236
United States,14,Alpine Renault,12,842,1077,1.0,0.0,0.0,41.995
United States,15,Alpine Renault,17,839,1077,1.0,0.0,0.0,42.804
United States,16,RB Honda RBPT,15,859,1077,1.0,0.0,0.0,44.008
United States,17,Williams Mercedes,20,848,1077,1.0,0.0,0.0,44.564
United States,18,Aston Martin Aramco Mercedes,14,4,1077,1.0,0.0,0.0,46.807
United States,19,Kick Sauber Ferrari,19,855,1077,1.0,0.0,0.0,52.842
