Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
1,2,830,1061,1.0,0.0,0.0,0.0
2,1,1,1061,1.0,0.0,0.0,1.43
3,3,822,1061,1.0,0.0,0.0,7.502
4,4,844,1061,1.0,0.0,0.0,11.278
5,6,846,1061,1.0,0.0,0.0,24.111
6,7,817,1061,1.0,0.0,0.0,30.959
7,11,4,1061,1.0,0.0,0.0,43.527
8,10,20,1061,1.0,0.0,0.0,44.439
9,8,847,1061,1.0,0.0,0.0,46.652
10,13,839,1061,1.0,0.0,0.0,47.395
11,9,832,1061,1.0,0.0,0.0,47.798
12,12,842,1061,1.0,0.0,0.0,48.763
13,17,8,1061,1.0,0.0,0.0,50.677
14,15,840,1061,1.0,0.0,0.0,52.179
15,14,841,1061,1.0,0.0,0.0,53.225
16,16,852,1061,1.0,0.0,0.0,53.567
17,18,849,1061,1.0,0.0,0.0,55.162
18,19,854,1061,1.0,0.0,0.0,0.0
19,20,853,1061,1.0,0.0,0.0,0.0
20,5,815,1061,0.0,1.0,,
1,1,822,1065,1.0,0.0,0.0,0.0
2,3,830,1065,1.0,0.0,0.0,2.325
3,5,817,1065,1.0,0.0,0.0,14.534
4,4,846,1065,1.0,0.0,0.0,18.835
5,2,1,1065,1.0,0.0,0.0,20.011
6,8,844,1065,1.0,0.0,0.0,23.442
7,7,832,1065,1.0,0.0,0.0,27.952
8,10,841,1065,1.0,0.0,0.0,31.089
9,9,815,1065,1.0,0.0,0.0,31.68
10,12,840,1065,1.0,0.0,0.0,38.671
11,13,4,1065,1.0,0.0,0.0,39.795
12,11,20,1065,1.0,0.0,0.0,41.177
13,14,839,1065,1.0,0.0,0.0,43.373
14,16,849,1065,1.0,0.0,0.0,45.977
15,15,847,1065,1.0,0.0,0.0,46.821
16,17,852,1065,1.0,0.0,0.0,49.977
17,20,853,1065,1.0,0.0,0.0,0.0
18,19,9,1065,1.0,0.0,0.0,0.0
19,18,854,1065,1.0,0.0,0.0,0.0
20,6,842,1065,0.0,1.0,,
1,2,822,1071,1.0,0.0,0.0,0.0
2,1,830,1071,1.0,0.0,0.0,1.17
3,5,832,1071,1.0,0.0,0.0,18.723
4,3,815,1071,1.0,0.0,0.0,19.787
5,20,1,1071,1.0,0.0,0.0,20.872
6,7,846,1071,1.0,0.0,0.0,22.558
7,6,844,1071,1.0,0.0,0.0,25.056
8,4,842,1071,1.0,0.0,0.0,34.158
9,10,839,1071,1.0,0.0,0.0,34.632
10,11,20,1071,1.0,0.0,0.0,34.867
11,8,817,1071,1.0,0.0,0.0,35.869
12,9,4,1071,1.0,0.0,0.0,36.578
13,14,841,1071,1.0,0.0,0.0,41.88
14,15,840,1071,1.0,0.0,0.0,44.037
15,12,852,1071,1.0,0.0,0.0,46.15
16,16,849,1071,1.0,0.0,0.0,46.76
17,17,847,1071,1.0,0.0,0.0,47.739
18,13,8,1071,1.0,0.0,0.0,50.014
19,18,854,1071,1.0,0.0,0.0,0.0
20,19,853,1071,1.0,0.0,0.0,0.0
