Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track
1,2,830,1061,1.0,0.0,0.0,0.0,2021,Red Bull Racing,Great Britain
2,1,1,1061,1.0,0.0,0.0,1.43,2021,Mercedes,Great Britain
3,3,822,1061,1.0,0.0,0.0,7.502,2021,Mercedes,Great Britain
4,4,844,1061,1.0,0.0,0.0,11.278,2021,Ferrari,Great Britain
5,6,846,1061,1.0,0.0,0.0,24.111,2021,McLaren,Great Britain
6,7,817,1061,1.0,0.0,0.0,30.959,2021,McLaren,Great Britain
7,11,4,1061,1.0,0.0,0.0,43.527,2021,Alpine,Great Britain
8,10,20,1061,1.0,0.0,0.0,44.439,2021,Aston Martin,Great Britain
9,8,847,1061,1.0,0.0,0.0,46.652,2021,Williams,Great Britain
10,13,839,1061,1.0,0.0,0.0,47.395,2021,Alpine,Great Britain
11,9,832,1061,1.0,0.0,0.0,47.798,2021,Ferrari,Great Britain
12,12,842,1061,1.0,0.0,0.0,48.763,2021,AlphaTauri,Great Britain
13,17,8,1061,1.0,0.0,0.0,50.677,2021,Alfa Romeo,Great Britain
14,15,840,1061,1.0,0.0,0.0,52.179,2021,Aston Martin,Great Britain
15,14,841,1061,1.0,0.0,0.0,53.225,2021,Alfa Romeo,Great Britain
16,16,852,1061,1.0,0.0,0.0,53.567,2021,AlphaTauri,Great Britain
17,18,849,1061,1.0,0.0,0.0,55.162,2021,Williams,Great Britain
18,19,854,1061,1.0,0.0,0.0,0.0,2021,Haas,Great Britain
19,20,853,1061,1.0,0.0,0.0,0.0,2021,Haas,Great Britain
20,5,815,1061,0.0,1.0,,,2021,Red Bull Racing,Great Britain
1,1,822,1065,1.0,0.0,0.0,0.0,2021,Mercedes,Italy
2,3,830,1065,1.0,0.0,0.0,2.325,2021,Red Bull Racing,Italy
3,5,817,1065,1.0,0.0,0.0,14.534,2021,McLaren,Italy
4,4,846,1065,1.0,0.0,0.0,18.835,2021,McLaren,Italy
5,2,1,1065,1.0,0.0,0.0,20.011,2021,Mercedes,Italy
6,8,844,1065,1.0,0.0,0.0,23.442,2021,Ferrari,Italy
7,7,832,1065,1.0,0.0,0.0,27.952,2021,Ferrari,Italy
8,10,841,1065,1.0,0.0,0.0,31.089,2021,Alfa Romeo,Italy
9,9,815,1065,1.0,0.0,0.0,31.68,2021,Red Bull Racing,Italy
10,12,840,1065,1.0,0.0,0.0,38.671,2021,Aston Martin,Italy
11,13,4,1065,1.0,0.0,0.0,39.795,2021,Alpine,Italy
12,11,20,1065,1.0,0.0,0.0,41.177,2021,Aston Martin,Italy
13,14,839,1065,1.0,0.0,0.0,43.373,2021,Alpine,Italy
14,16,849,1065,1.0,0.0,0.0,45.977,2021,Williams,Italy
15,15,847,1065,1.0,0.0,0.0,46.821,2021,Williams,Italy
16,17,852,1065,1.0,0.0,0.0,49.977,2021,AlphaTauri,Italy
17,20,853,1065,1.0,0.0,0.0,0.0,2021,Haas,Italy
18,19,9,1065,1.0,0.0,0.0,0.0,2021,Alfa Romeo,Italy
19,18,854,1065,1.0,0.0,0.0,0.0,2021,Haas,Italy
20,6,842,1065,0.0,1.0,,,2021,AlphaTauri,Italy
1,2,822,1071,1.0,0.0,0.0,0.0,2021,Mercedes,Brazil
2,1,830,1071,1.0,0.0,0.0,1.17,2021,Red Bull Racing,Brazil
3,5,832,1071,1.0,0.0,0.0,18.723,2021,Ferrari,Brazil
4,3,815,1071,1.0,0.0,0.0,19.787,2021,Red Bull Racing,Brazil
5,20,1,1071,1.0,0.0,0.0,20.872,2021,Mercedes,Brazil
6,7,846,1071,1.0,0.0,0.0,22.558,2021,McLaren,Brazil
7,6,844,1071,1.0,0.0,0.0,25.056,2021,Ferrari,Brazil
8,4,842,1071,1.0,0.0,0.0,34.158,2021,AlphaTauri,Brazil
9,10,839,1071,1.0,0.0,0.0,34.632,2021,Alpine,Brazil
10,11,20,1071,1.0,0.0,0.0,34.867,2021,Aston Martin,Brazil
11,8,817,1071,1.0,0.0,0.0,35.869,2021,McLaren,Brazil
12,9,4,1071,1.0,0.0,0.0,36.578,2021,Alpine,Brazil
13,14,841,1071,1.0,0.0,0.0,41.88,2021,Alfa Romeo,Brazil
14,15,840,1071,1.0,0.0,0.0,44.037,2021,Aston Martin,Brazil
15,12,852,1071,1.0,0.0,0.0,46.15,2021,AlphaTauri,Brazil
16,16,849,1071,1.0,0.0,0.0,46.76,2021,Williams,Brazil
17,17,847,1071,1.0,0.0,0.0,47.739,2021,Williams,Brazil
18,13,8,1071,1.0,0.0,0.0,50.014,2021,Alfa Romeo,Brazil
19,18,854,1071,1.0,0.0,0.0,0.0,2021,Haas,Brazil
20,19,853,1071,1.0,0.0,0.0,0.0,2021,Haas,Brazil
