Position,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec,year,Team,Track,rain,sunny
1,2,815,1101,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Azerbaijan,0,1
2,1,844,1101,1.0,0.0,0.0,4.463,2023,Ferrari,Azerbaijan,0,1
3,3,830,1101,1.0,0.0,0.0,5.065,2023,Red Bull Racing,Azerbaijan,0,1
4,4,847,1101,1.0,0.0,0.0,8.532,2023,Mercedes,Azerbaijan,0,1
5,5,832,1101,1.0,0.0,0.0,10.388,2023,Ferrari,Azerbaijan,0,1
6,8,4,1101,1.0,0.0,0.0,11.613,2023,Aston Martin,Azerbaijan,0,1
7,6,1,1101,1.0,0.0,0.0,16.503,2023,Mercedes,Azerbaijan,0,1
8,9,840,1101,1.0,0.0,0.0,18.417,2023,Aston Martin,Azerbaijan,0,1
9,7,848,1101,1.0,0.0,0.0,21.757,2023,Williams,Azerbaijan,0,1
10,11,857,1101,1.0,0.0,0.0,22.851,2023,McLaren,Azerbaijan,0,1
11,13,825,1101,1.0,0.0,0.0,27.99,2023,Haas F1 Team,Azerbaijan,0,1
12,14,855,1101,1.0,0.0,0.0,34.602,2023,Alfa Romeo,Azerbaijan,0,1
13,17,842,1101,1.0,0.0,0.0,36.918,2023,Alpine,Azerbaijan,0,1
14,18,856,1101,1.0,0.0,0.0,41.626,2023,AlphaTauri,Azerbaijan,0,1
15,12,807,1101,1.0,0.0,0.0,48.587,2023,Haas F1 Team,Azerbaijan,0,1
16,15,822,1101,1.0,0.0,0.0,49.917,2023,Alfa Romeo,Azerbaijan,0,1
17,10,846,1101,1.0,0.0,0.0,51.104,2023,McLaren,Azerbaijan,0,1
18,19,839,1101,1.0,0.0,0.0,60.621,2023,Alpine,Azerbaijan,0,1
NC,16,852,1101,0.0,1.0,,,2023,AlphaTauri,Azerbaijan,0,1
1,1,830,1107,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Austria,0,1
2,2,815,1107,1.0,0.0,0.0,21.048,2023,Red Bull Racing,Austria,0,1
3,5,832,1107,1.0,0.0,0.0,23.088,2023,Ferrari,Austria,0,1
4,7,840,1107,1.0,0.0,0.0,29.703,2023,Aston Martin,Austria,0,1
5,6,4,1107,1.0,0.0,0.0,30.109,2023,Aston Martin,Austria,0,1
6,4,807,1107,1.0,0.0,0.0,31.297,2023,Haas F1 Team,Austria,0,1
7,8,839,1107,1.0,0.0,0.0,36.602,2023,Alpine,Austria,0,1
8,15,847,1107,1.0,0.0,0.0,36.611,2023,Mercedes,Austria,0,1
9,3,846,1107,1.0,0.0,0.0,38.608,2023,McLaren,Austria,0,1
10,18,1,1107,1.0,0.0,0.0,46.375,2023,Mercedes,Austria,0,1
11,17,857,1107,1.0,0.0,0.0,49.807,2023,McLaren,Austria,0,1
12,9,844,1107,1.0,0.0,0.0,50.789,2023,Ferrari,Austria,0,1
13,11,848,1107,1.0,0.0,0.0,52.848,2023,Williams,Austria,0,1
14,10,825,1107,1.0,0.0,0.0,56.593,2023,Haas F1 Team,Austria,0,1
15,12,842,1107,1.0,0.0,0.0,57.652,2023,Alpine,Austria,0,1
16,13,852,1107,1.0,0.0,0.0,64.822,2023,AlphaTauri,Austria,0,1
17,14,856,1107,1.0,0.0,0.0,65.617,2023,AlphaTauri,Austria,0,1
18,20,858,1107,1.0,0.0,0.0,66.059,2023,Williams,Austria,0,1
19,16,855,1107,1.0,0.0,0.0,70.825,2023,Alfa Romeo,Austria,0,1
20,19,822,1107,1.0,0.0,0.0,76.435,2023,Alfa Romeo,Austria,0,1
1,1,830,1110,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Belgium,0,1
2,2,857,1110,1.0,0.0,0.0,6.677,2023,McLaren,Belgium,0,1
3,6,842,1110,1.0,0.0,0.0,10.733,2023,Alpine,Belgium,0,1
4,3,832,1110,1.0,0.0,0.0,12.648,2023,Ferrari,Belgium,0,1
5,4,844,1110,1.0,0.0,0.0,15.016,2023,Ferrari,Belgium,0,1
6,5,846,1110,1.0,0.0,0.0,16.052,2023,McLaren,Belgium,0,1
7,7,1,1110,1.0,0.0,0.0,16.757,2023,Mercedes,Belgium,0,1
8,10,847,1110,1.0,0.0,0.0,16.822,2023,Mercedes,Belgium,0,1
9,9,839,1110,1.0,0.0,0.0,22.41,2023,Alpine,Belgium,0,1
10,11,817,1110,1.0,0.0,0.0,22.806,2023,AlphaTauri,Belgium,0,1
11,14,840,1110,1.0,0.0,0.0,25.007,2023,Aston Martin,Belgium,0,1
12,12,848,1110,1.0,0.0,0.0,26.303,2023,Williams,Belgium,0,1
13,17,822,1110,1.0,0.0,0.0,27.006,2023,Alfa Romeo,Belgium,0,1
14,18,825,1110,1.0,0.0,0.0,32.986,2023,Haas F1 Team,Belgium,0,1
15,19,855,1110,1.0,0.0,0.0,36.342,2023,Alfa Romeo,Belgium,0,1
16,13,858,1110,1.0,0.0,0.0,37.571,2023,Williams,Belgium,0,1
17,20,807,1110,1.0,0.0,0.0,37.827,2023,Haas F1 Team,Belgium,0,1
18,16,852,1110,1.0,0.0,0.0,39.267,2023,AlphaTauri,Belgium,0,1
NC,8,815,1110,0.0,1.0,,,2023,Red Bull Racing,Belgium,0,1
NC,15,4,1110,0.0,1.0,,,2023,Aston Martin,Belgium,0,1
1,1,857,1115,1.0,0.0,0.0,0.0,2023,McLaren,Qatar,0,1
2,3,830,1115,1.0,0.0,0.0,1.871,2023,Red Bull Racing,Qatar,0,1
3,2,846,1115,1.0,0.0,0.0,8.497,2023,McLaren,Qatar,0,1
4,4,847,1115,1.0,0.0,0.0,11.036,2023,Mercedes,Qatar,0,1
5,12,1,1115,1.0,0.0,0.0,17.314,2023,Mercedes,Qatar,0,1
6,5,832,1115,1.0,0.0,0.0,18.806,2023,Ferrari,Qatar,0,1
7,17,848,1115,1.0,0.0,0.0,19.864,2023,Williams,Qatar,0,1
8,9,4,1115,1.0,0.0,0.0,21.18,2023,Aston Martin,Qatar,0,1
9,11,842,1115,1.0,0.0,0.0,21.742,2023,Alpine,Qatar,0,1
10,13,822,1115,1.0,0.0,0.0,22.208,2023,Alfa Romeo,Qatar,0,1
11,18,852,1115,1.0,0.0,0.0,22.863,2023,AlphaTauri,Qatar,0,1
12,6,844,1115,1.0,0.0,0.0,24.86,2023,Ferrari,Qatar,0,1
13,19,825,1115,1.0,0.0,0.0,24.97,2023,Haas F1 Team,Qatar,0,1
14,15,855,1115,1.0,0.0,0.0,26.868,2023,Alfa Romeo,Qatar,0,1
15,16,840,1115,1.0,0.0,0.0,29.523,2023,Aston Martin,Qatar,0,1
NC,7,807,1115,0.0,1.0,,,2023,Haas F1 Team,Qatar,0,1
NC,10,839,1115,0.0,1.0,,,2023,Alpine,Qatar,0,1
NC,8,815,1115,0.0,1.0,,,2023,Red Bull Racing,Qatar,0,1
NC,20,858,1115,0.0,1.0,,,2023,Williams,Qatar,0,1
NC,14,859,1115,0.0,1.0,,,2023,AlphaTauri,Qatar,0,1
1,1,830,1116,1.0,0.0,0.0,0.0,2023,Red Bull Racing,United States,0,1
2,3,1,1116,1.0,0.0,0.0,9.465,2023,Mercedes,United States,0,1
3,2,844,1116,1.0,0.0,0.0,17.987,2023,Ferrari,United States,0,1
4,4,846,1116,1.0,0.0,0.0,18.863,2023,McLaren,United States,0,1
5,7,815,1116,1.0,0.0,0.0,22.928,2023,Red Bull Racing,United States,0,1
6,6,832,1116,1.0,0.0,0.0,28.307,2023,Ferrari,United States,0,1
7,9,842,1116,1.0,0.0,0.0,32.403,2023,Alpine,United States,0,1
8,11,847,1116,1.0,0.0,0.0,34.25,2023,Mercedes,United States,0,1
9,8,848,1116,1.0,0.0,0.0,34.567,2023,Williams,United States,0,1
10,5,857,1116,1.0,0.0,0.0,42.403,2023,McLaren,United States,0,1
11,13,839,1116,1.0,0.0,0.0,44.986,2023,Alpine,United States,0,1
12,10,817,1116,1.0,0.0,0.0,45.509,2023,AlphaTauri,United States,0,1
13,12,4,1116,1.0,0.0,0.0,49.086,2023,Aston Martin,United States,0,1
14,19,852,1116,1.0,0.0,0.0,49.733,2023,AlphaTauri,United States,0,1
15,16,807,1116,1.0,0.0,0.0,56.65,2023,Haas F1 Team,United States,0,1
16,18,822,1116,1.0,0.0,0.0,64.401,2023,Alfa Romeo,United States,0,1
17,15,855,1116,1.0,0.0,0.0,67.972,2023,Alfa Romeo,United States,0,1
18,17,825,1116,1.0,0.0,0.0,71.122,2023,Haas F1 Team,United States,0,1
19,20,858,1116,1.0,0.0,0.0,71.449,2023,Williams,United States,0,1
NC,14,840,1116,0.0,1.0,,,2023,Aston Martin,United States,0,1
1,2,830,1118,1.0,0.0,0.0,0.0,2023,Red Bull Racing,Brazil,0,1
2,1,846,1118,1.0,0.0,0.0,4.287,2023,McLaren,Brazil,0,1
3,3,815,1118,1.0,0.0,0.0,13.617,2023,Red Bull Racing,Brazil,0,1
4,4,847,1118,1.0,0.0,0.0,25.879,2023,Mercedes,Brazil,0,1
5,7,844,1118,1.0,0.0,0.0,28.56,2023,Ferrari,Brazil,0,1
6,6,852,1118,1.0,0.0,0.0,29.21,2023,AlphaTauri,Brazil,0,1
7,5,1,1118,1.0,0.0,0.0,34.726,2023,Mercedes,Brazil,0,1
8,9,832,1118,1.0,0.0,0.0,35.106,2023,Ferrari,Brazil,0,1
9,8,817,1118,1.0,0.0,0.0,35.303,2023,AlphaTauri,Brazil,0,1
10,10,857,1118,1.0,0.0,0.0,38.219,2023,McLaren,Brazil,0,1
11,15,4,1118,1.0,0.0,0.0,39.061,2023,Aston Martin,Brazil,0,1
12,17,840,1118,1.0,0.0,0.0,39.478,2023,Aston Martin,Brazil,0,1
13,13,842,1118,1.0,0.0,0.0,40.621,2023,Alpine,Brazil,0,1
14,16,839,1118,1.0,0.0,0.0,42.848,2023,Alpine,Brazil,0,1
15,19,848,1118,1.0,0.0,0.0,43.394,2023,Williams,Brazil,0,1
16,11,825,1118,1.0,0.0,0.0,56.507,2023,Haas F1 Team,Brazil,0,1
17,18,855,1118,1.0,0.0,0.0,58.723,2023,Alfa Romeo,Brazil,0,1
18,12,807,1118,1.0,0.0,0.0,60.33,2023,Haas F1 Team,Brazil,0,1
19,14,822,1118,1.0,0.0,0.0,60.749,2023,Alfa Romeo,Brazil,0,1
20,20,858,1118,1.0,0.0,0.0,60.945,2023,Williams,Brazil,0,1
