Track,Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team
China,1,1,1.0,1.0,0.0,0.0,0.0,2025,Ferrari
China,2,3,857.0,1.0,0.0,0.0,6.889,2025,McLaren
China,3,2,830.0,1.0,0.0,0.0,9.804,2025,Red Bull Racing
China,4,5,847.0,1.0,0.0,0.0,11.592,2025,Mercedes
China,5,4,844.0,1.0,0.0,0.0,12.19,2025,Ferrari
China,6,8,852.0,1.0,0.0,0.0,22.288,2025,Red Bull Racing
China,7,7,863.0,1.0,0.0,0.0,23.038,2025,Mercedes
China,8,6,846.0,1.0,0.0,0.0,23.471,2025,McLaren
China,9,10,840.0,1.0,0.0,0.0,24.916,2025,Aston Martin
China,10,11,4.0,1.0,0.0,0.0,38.218,2025,Aston Martin
China,11,9,848.0,1.0,0.0,0.0,39.292,2025,Williams
China,12,17,842.0,1.0,0.0,0.0,39.649,2025,Alpine
China,13,15,864.0,1.0,0.0,0.0,42.4,2025,Racing Bulls
China,14,19,859.0,1.0,0.0,0.0,44.904,2025,Racing Bulls
China,15,12,860.0,1.0,0.0,0.0,45.649,2025,Haas
China,16,18,839.0,1.0,0.0,0.0,46.182,2025,Haas
China,17,13,832.0,1.0,0.0,0.0,51.376,2025,Williams
China,18,14,865.0,1.0,0.0,0.0,53.94,2025,Kick Sauber
China,19,20,807.0,1.0,0.0,0.0,56.682,2025,Kick Sauber
China,20,16,862.0,1.0,0.0,0.0,70.212,2025,Alpine
Miami,1,3,846.0,1.0,0.0,0.0,0.0,2025,McLaren
Miami,2,2,857.0,1.0,0.0,0.0,0.672,2025,McLaren
Miami,3,7,1.0,1.0,0.0,0.0,1.073,2025,Ferrari
Miami,4,5,847.0,1.0,0.0,0.0,3.127,2025,Mercedes
Miami,5,16,840.0,1.0,0.0,0.0,3.412,2025,Aston Martin
Miami,6,20,852.0,1.0,0.0,0.0,5.153,2025,Red Bull Racing
Miami,7,1,863.0,1.0,0.0,0.0,5.635,2025,Mercedes
Miami,8,13,842.0,1.0,0.0,0.0,5.973,2025,Alpine
Miami,9,11,807.0,1.0,0.0,0.0,6.153,2025,Kick Sauber
Miami,10,9,864.0,1.0,0.0,0.0,7.502,2025,Racing Bulls
Miami,11,8,848.0,1.0,0.0,0.0,7.522,2025,Williams
Miami,12,12,839.0,1.0,0.0,0.0,8.998,2025,Haas
Miami,13,14,859.0,1.0,0.0,0.0,9.024,2025,Racing Bulls
